url,rest_name,number_of_reviews,rating,food_type,coupon,food,service,ambience,value,about_rest,comments,image_url
https://www.opentable.com/the-parlour-italian-kitchen-and-bar?corrid=5727dd05-14a1-4ddb-9690-4f4dca027dca&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,The Parlour Italian Kitchen & Bar,1401,4.6,Italian,CAN$30 and under,4.5,4.7,4.6,4.5,"It’s been said, “Those who eat well, live well.” It’s about having your fill of good food and fine wine. It’s about gathering with friends and family to enjoy each other’s company. It’s about living the Italian way, taking as
much time as you want to sit back, relax, and savor a great meal with
your favorite people. This is what The Parlour is all about.

From our stone encased 900° wood burning oven, to our unwavering standards in obtaining the best ingredients (including 00 flour from Italy), the worlds best tomatoes, cheeses & local meats, you' are sure to find we have the best pizza in Edmonton!","Read more Great spot pre game. Service from start to finish was excellent.  Al of our meals were amazing.  Definitely recommend to anyone.  Food was delicious, service was excellent - we really enjoyed our dinner & will visit again.  One of my favorite restaurants in Edmonton! Great food, cool environment and fantastic service always.  Ordered 3 Pizzas and they were outstanding , along with the service.  In from out of town and went here for our second time, we’re staying at an AirBnb near by and we’re going to a hockey game after, so nice and close walking distance from Rogers.  Service was good, love the downstairs area by the stone oven.  Food was fantastic, definitely on the go to list again.  Chairs starting to show age and wear, could use a bit of upkeep.  This place has great drinks and a super friendly team to serve you! Simon was great as always!  Great experience for our first time at The Parlour. Will definitely come again.  Love Parlour! Especially when the patio has the fire going.  Fun cocktails, delicious pizza and a nice decor. A nice amount of space between us and other tables (sometimes restaurants really cram you in and you have no privacy, not here here).
Service was great!  Will definitely go back!  This place was amazing the ravioli was delicious the atmosphere excellent. 10/10 recommend going",https://resizer.otstatic.com/v2/photos/xlarge/1/53671198.webp
https://www.opentable.com/r/lux-steakhouse-and-bar94-edmonton?corrid=5727dd05-14a1-4ddb-9690-4f4dca027dca&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,LUX Steakhouse + BAR94,1220,4.1,Steakhouse,CAN$51 and over,4.1,4.3,4.1,3.7,"Century Hospitality Group has 'raised the steaks' at LUX Steakhouse + BAR94. Located in the heart of downtown, diners at this upscale urban steakhouse enjoy a hip, refined design and a menu that would do any traditional steakhouse proud. The atmosphere is pure modern day elegance with its vibrant colours, rich fabrics and darkly stained woods. Chef will have your taste buds dancing with his numerous innovative creations, far from ordinary steakhouse fare. Not just satisfied with providing Edmontonians with a great dining experience, the team at LUX set about 'raising the bar', offering guests a finer place to sit, sip & socialize. The rich tones, soft fabrics, stunning millwork and feature waterfall wall make the LUX Bar a definite destination for the business traveller and Edmonton's social network. In addition to housing a NY style long bar, guests can enjoy the full steakhouse menu and wash it down with a hefty selection of refined libations.","Read more Overall experience: we expected something “high level” service. Unfortunately, it was totally disappointing. Totally raw vegetables, shells in oysters, steak was normal but too fatty. NO hostess at the entrance, we were wondering around the restaurant while someone asked what are we looking for. Dirty table and candle stand was cracked I barely cut my finger. Cocktails NOT as per standards - watery and no taste. Read more We were put in the back by the bar area. It was noises we didn’t like that. I ordered the lollipop steak it didn’t have a price included when ordering. When the bill came out it was 180$ , I was totally shocked it was not worth that kind of money. I will not be going there again. Too much money our bill was 400$ for just me and my wife.  Delicious food and drinks. Great service. Would return 100%  It’s more run on as casual nice food rather fine/elegant dining. Both my steak and my server were wearing cow boy hats make the vibe vivid and chill.

Came on my own at around 5pm when only five tables were dining. Ordered their daily feature Butcher’s Cut which is a 16oz Ribeye with baked beans. Also ordered a side of broccoli which was supposed to be a shared plate. The disappointment was caused by not being informed with the baked beans before ordering and that my broccolini was missed on my order. Service was very friendly and polite, but not professional with such an easy order. Maybe they just not in work mode yet seeing a young man stepping in early in the evening…

Steak was of high quality and cooked to perfection. Baked beans, although I wouldn’t order, was still very tasty.

They have a great selections of steak sauces, making it a nice place for those who enjoy steaks with sauces. I had chimichurri, bone marrow butter, and peppercorn. Chim remained the best cold sauce in my mind; fresh and neutralize the fat on steak. Bone marrow butter was recommended by the server but added very little flavour to the steak given the ribeye was already with strong flavour. Peppercorn sauce was not creamy but gel-like, and is honestly the worst that I have tried; very light with no pepper flavour at all; tasted not cooked in restaurant but pre-made or packaged.

There were only two dessert options and neither sounded attractive to me. Read more The food, the service, everything was excellent. Would definitely go back  Super underwhelmed. Brie appetizer was served cold, not melty at all. Chicken was super salty, Steak was good but nothing to write home about. Veggies on plate weren’t cooked. Not worth the $300  We ordered the hanger steak and a chicken supreme. It was fabulously cooked and delicious. The servers we had were so attentive and friendly. Great atmosphere, would definitely go back. 5/5 :)  Filet mignon cuit à la perfection. Pommes de terre Yuyon à l'ail délicieuse et très bien excécutées. Service attentionné. la partie bar n'est pas la plus calme. musique très forte. la prochaine fois j'irai m'installer dans la salle à manger. Prix raisonnable.  Amazing as always! Great food and great service! Cocktails were delicious, steak cooked to perfection!  We came to Edmonton for the Metallica 72 Seasons event and searched for a recommended steakhouse. We found Lux and it exceeded our expectations!! We ordered Surf and Turf which was done and seasoned to perfection, paired with a great bottle of wine and topped it with the to die for Saskatoon Cheesecake. The waitress, Sarah, was attentive and very personable. Wow what a fantastic experience. Thank you Lux Steakhouse! Read more",https://resizer.otstatic.com/v2/photos/xlarge/1/26104894.webp
https://www.opentable.com/r/stingray-bar-eatery-edmonton?corrid=5727dd05-14a1-4ddb-9690-4f4dca027dca&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,STINGRAY BAR | EATERY,89,4.7,Creative Japanese,CAN$30 and under,4.6,4.8,4.6,4.3,"Stingray is a modern-casual restaurant that can dress up for a social occasion, but prefers to dress down for dinner on a Thursday. It’s menu is inspired by traditional Japanese cuisine, but with our own Century Hospitality flare and casual favourites. So don’t worry about sushi etiquette here – grab some sashimi, handrolls, and a cocktail to enjoy whatever the day or night is calling for.

For us, it’s where Japanese cuisine meets century hospitality group – It’s the essence of traditional and modern influences coming together.

Our food + drink is carefully hand crafted with only the freshest and Finest ingredients. Our dishes are meant to be shared and in doing so You’ll best enjoy and appreciate the vision our team strives to deliver on.

Whether hot or cold, our chefs create your meal and it’s brought to your Table as it’s ready. So don’t worry about sushi etiquette here — grab a cocktail, Get your chopsticks, and whatever the day or night is calling","Read more Good food and fast service. Waitresses were very friendly and helpful. Good place and we definitely will visit again  The service was great! The food was very good. Over all an awesome experience.  Excellent food.  Service was excellent as well.  Neighbourhood gem.  Beautiful room, amazing atmosphere. Friendly service and delicious food. Will be back :)  The service was fabulous. Thank you Jill. And a very nice touch with the birthday cake.  Our first time visiting Stingray, but I doubt it will be our last. The food was great, and the service superb. We had a lovely time.  This is NOT a great sushi restaurant imo.  So many dishes we ordered had a deep fried element to them.  Including the coating on the hand rolls.  Kewpie mayo on most of the items brings a similar flavor to many of the options.  The service was great and the restaurant itself is nice but if you want great sushi there are far better options in YEG  Love it! The broccoli was amazing. We’d go back for sure.  Totally enjoyed our experience at Stingray. Great food and equally great service. We sat on the patio and started the warm summer night with a tasty margarita.  The restaurant was great, great experience and service.. but the price for what we ate and the quality of the food was ok. Compared to other sushi restaurants. The pressed rolls that were Gluten free had to omit the mayo.. they need to come up with another option as the pressed rolls were boring.",https://resizer.otstatic.com/v2/photos/xlarge/2/54490394.webp
https://www.opentable.com/r/bell-in-scona-edmonton?corrid=5727dd05-14a1-4ddb-9690-4f4dca027dca&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Bell in Scona,45,4.3,Canadian,CAN$30 and under,4.2,4.3,4.3,4.3,"The Bell in Scona is a proud emblem of Old Strathcona and Alberta’s rich heritage. Housed in our vintage building, we’ve created a space to celebrate and share our region’s history through unique culinary and brewing experiences.

Our brewery brings a piece of the past into the present through using antique pre-war cast iron and copper vessels to craft distinctive beers. Each brew resonates with an authentic taste of local ingredients, reflecting our love for Alberta’s natural bounty.

Nestled in this historic setting, our taproom offers a curated menu using locally-sourced ingredients, marrying tradition with innovation. We wish to take you on a culinary journey through the best ingredients, locally raised meats and the diverse flavours our province has to offer.","Read more Great food, good drinks. We love this place! Looking forward to coming back.  Pretty standard gastro pub fair. Nothing to complain about but also nothing that wowed us. Prices were reasonable as was the portion size. The venue had a good atmosphere  The food was great, the in house brew selections were great, the service was great... I totally recommend.  Service was friendly and the restaurant looks great, however we found it took a long time to get our drinks and our food was bland.  Great new place and we will definitely be back!
Service and food were great!  It was OK, but I don't know if I would be rushing back. We ordered several appetizers as our meal, and overall, they were fairly disappointing. The bread knots were hard and dry - I'm guessing they were overheated before being served. The nachos came without the beef we had ordered. Our server then brought us a bowl of (lukewarm) beef from the kitchen and said that the kitchen had sent this out because they forgot to put it on our nachos - no offer to even take the nachos back to the kitchen for them to put the beef on and reheat them. I ordered guacamole with the nachos - price on the menu was $3.95, but we were charged $5.95. A small Nacho ended up being over $30, which was not worth the price at all, especially considering we were overcharged and they weren't served as ordered. The Calamari was the best of the 3 items we ordered.

The Margs were on point, I'll give them that.

Overall, really disappointing. Read more Went to sit on the patio and the rooftop wasn’t open. Got sat on street level patio, super shady and so many wasps. The service was extremely slow. Got a flight and liked all the beers. Probably won’t go back.  Great food and good drinks! Burger was amazing and the calamari was super good.  Four of us had a great lunch! Great food! They offer a super variety from shareables to entrees. Drinks (both alcholic and nonalchoholic) were great. I highly recommend the McDavid Mule! Our server was the bar manager, Ethan. What an absolutely terrific guy he is - he treated us well, offered his opinion on menu items when we asked, refilled our drinks, etc., etc - he's great! Read more This was a very nice place to visit and the staff were very friendly.",https://resizer.otstatic.com/v2/photos/xlarge/1/53558508.webp
https://www.opentable.com/la-ronde-chateau-lacombe?corrid=5727dd05-14a1-4ddb-9690-4f4dca027dca&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,La Ronde - Chateau Lacombe,2286,4.6,Canadian,CAN$31 to CAN$50,4.5,4.7,4.7,4.2,"Famous for its incredible view, the newly-refreshed La Ronde restaurant is Edmonton's premier dining restaurant located on the 24th floor of Chateau Lacombe Hotel. Revolving once every 88 minutes, La Ronde restaurant treats its guests to an unmatched view and dining experience.
You will have the pleasure of sampling some of our Executive Chef's sophisticated creations which will tantalize your palate. Complete your dining experience with our Pastry Chef's freshly prepared in-house desserts that will please any sweet tooth.
Come experience fine wine and regional cuisine high above the city.

For larger group bookings or special occasion days, please contact the restaurant for availability.","Read more We came to celebrate our 48th wedding anniversary and weren’t disappointed! The view overlooking the city was lovely and the atmosphere was one of quiet elegance. Our waiter Colin was charming and attentive, without being intrusive. We enjoyed the 3 course dinner special, which consisted of duck breast carpaccio with an arugula salad and raspberry vinaigrette, slow roasted beef brisket with mashed potatoes and vegetables, finished off with a pear tart. Wine pairings for each course were available, however we opted for cocktails instead. It’s nice to enjoy a dinner I likely wouldn’t prepare myself. Price point was reasonable for a nice restaurant with well trained staff and delicious food. Not recommended for families with small children. Read more Our family had an amazing time. Food was excellent. Our waiter Dean, was friendly, fast and accommodating. Highly recommend!  The bread pudding has cinnamon in it. A true bread pudding does not. Many of the desserts were so sweet. As a diabetic I could not eat any of them. They do not look after diabetics.  Chris was the best, great Neal and evening, brilliant views of the city in fall colours then evening lights.  We went to celebrate my husband's birthday. It was an overall excellent experience. Amazing staff, great food and potions, fancy.  I got the 3 course dinner, and it was phenomenal. My wife is vegan, and there wasn't anything on the menu for her. The staff whipped up an appetizer, Entree, and dessert special for her no problem. The entire experience was beautiful, and we have nothing but good things to say!  I liked the rotating sensation, but because the room was rotating, it was hard to find the exit and the bathroom. The time of day I went was truly marvellous. The setting sun on the horizon, as my table slowly moved towards the window facing the sun, created a unique experience, keeping the scenery fresh every time I looked out. The food arrived within ten minutes, which was a pleasant surprise compared to other establishments I’ve visited in the past. The food was excellent, and the lamb I ordered was delicious. Overall, I would highly recommend Chateau Lacombe if you are looking for a unique dining experience in the Edmonton area. Read more We were married here and have gone back every year no for the past 16 years and will continue to do so.  Great experience every time we go both food and atmosphere  Our group really enjoyed the entire experience.  The food was great, the service was amazing, the view was just as amazing.  Our dinner was a work team dinner, so when I am in Edmonton again with my family we will for sure be back.  Unusually poor! As repeat customers who LIVE dining at La Ronde, and have entertained three generations of family on important occasions in their fine dining room, we were VERY disappointed last Sunday evening. We had two elderly guests we wanted to show fine dining, exceptional service while viewing our bright Alberta skies and then watch a fantastic sunset as we slowly turned around the city. We knew the food well and were sure it would impress!
The skies turned rainy and a grey and there was no sunset visible and it turned out we couldn’t rely on the food either.
As the only one who ordered an appetizer I received a ‘job’ instead. I ordered the Caesar Salad with a house-made dressing. Out came a sleeve of Romaine leaves cut down the centre with the top layer of each smeared with their dressing and a fork and knife for me to ‘assemble’ it! I’m NOT a fan of the ‘deconstructed phase’ that a lot of chefs have adopted, and this provided me both work and a lot of lettuce without any dressing. I had about four butchered bites and the the dressing was finished.
If the four proteins we ordered for our main course, three were inedible. The lamb fell off the bone beautifully and was thoroughly enjoyed however the Pepper Steak, Steak Diane and the Prime Rib were all overdone and/or unchewable. Two of us removed a piece from our mouths after trying to get them down.
I can’t tell you how unlikely it was to experience this level of dining in this restaurant - we’ve literally come here for three decades!!
The redeeming factor was our lovely waitress (Laura?) who was beside herself with what to do, apologized profusely and we were sure to assure her it was beyond her control. Her manner, service, warmth and welcome to our guests, were great!
The bill was SUBSTANTIALLY reduced, as it should have been, and we appreciated that very much. However these guests are in their 90’s and from out of province, and unfortunately unlikely to get to experience the dining room of which we spoke. Read more",https://resizer.otstatic.com/v2/photos/xlarge/2/48441496.webp
https://www.opentable.com/tzin-wine-and-tapas?corrid=5727dd05-14a1-4ddb-9690-4f4dca027dca&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Tzin Wine & Tapas,2416,4.9,Tapas / Small Plates,CAN$30 and under,4.9,5.0,4.9,4.7,"TZiN Wine & Tapas has been voted Edmonton's #1 Tapas Restaurant in 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018 & 2019 and one of Opentable's Top 100 restaurants in Canada in 2017, 2018. 2019, 2020 & 2021. We offer an eclectic array of tapas for sharing and an ever-changing wine list which is offered by the glass, half glass or bottle. Our environment is intimate and welcoming. We invite you as friends and treat you like family.

PLEASE NOTE THAT ONLINE RESERVATIONS ARE CURRENTLY AVAILABLE FOR PARTIES WITH LESS THAN 6 GUESTS. PLEASE CALL TZiN TO INQUIRE ABOUT LARGER GROUPS.","Read more As always, Tzin’s was perfect! Everything about the experience reminds me why this is our favourite restaurant.  Amazing food with beautiful presentation and service was brilliant.  The food here is so good and beautifully presented. Highly recommend the bacon and risotto!  Service here is always top tier. Love it every time I come around.  As usual, excellent! Great service and food, wonderful flavours!  We just let them bring us food and wine. We were not disappointed. A hidden gem!  One of the best if not the best restaurant in Edmonton!  Tzin is the best restaurant in the city.  My wife and I love the food, the staff, the ambience and the experience.  I would encourage anyone who loves truly excellent food to try it.  Absolutely hidden gem. Kelsey and staff bend over backwards to make sure you have the best experience!
A must go place in edm!
Thank you  Overall, completely great experience. Loved the hostess and everything else from the moment we walked in the door.",https://resizer.otstatic.com/v2/photos/xlarge/3/30679821.webp
https://www.opentable.com/r/bernadettes-edmonton?corrid=5727dd05-14a1-4ddb-9690-4f4dca027dca&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Bernadette's,52,4.9,Indigenous,CAN$51 and over,4.9,4.9,4.9,4.7,"An elegant restaurant wine bar in downtown Edmonton with Indigenous sharing plates highlighting local, seasonal and tradition ingredients, evoking memories and comfort.","12/10 it is so worth ordering everything on the menu. Service was fantastic to top it all off. Can’t wait to go back.  Bernadette’s is a must try in Edmonton! Amazing Indigenous culture embedded into the cuisine. Chef does an excellent job with each dish and the experiences of it all. Highly recommend the Saskatoon berry Brisket on bannock!!!  It was as always a beautiful experience💜word cannot explain; you have to experience it yourself.  The service and food was amazing and everything about the experience was altogether pleasant.  The food was quite good but expect to pay for it. I would recommend this restaurant if you want a unique experience and hopefully, you will get a more attentive server.  We arrived about 15 minutes early and the hostess was pushing the happy hour menu even though the regular menu with many more items started shortly. The table we reserved was being used by four others who were having a meeting so we were moved to a smaller table as well. We found that our server was polite and answered questions but noticed the other server offered an explanation of the restaurant, the food, and dining options (could order a tasting and wine pairing or off the menu). Finally, although we had indicated that we were celebrating a birthday, there was no attempt to acknowledge it.  I am always willing to pay for good food and service, this was just good food. Still, I would recommend that you give it a try. Read more The food was fantastic and the ambience was really nice because it’s a small place. We sat at the bar and this might be the first time I actually enjoyed being seated there. The servers were attentive.  Amazing restaurant with an incredible indigenous inspired menu. Our server Amy guided us through their interesting offerings which included seared scallops, raw elk with capers, Saskatoon berry brisket and spam gnocchi. Each dish was beautifully presented and delicious. We topped off the evening with the homemade sweet grass ice cream and berry tart (highly recommended). The ambiance was cozy and welcoming and the co-owner Svitlana is absolutely lovely. We will visit again! Read more What a lovely experience! Service was incredibly friendly, every dish was balanced and flavourful. Will definitely be back!  Such an amazing dining experience! The food was unique and beautifully presented. Taste was amazing. And the staff were very friendly and helpful.  Fabulous!! food, service, cocktails, space, music. We enjoyed everything and will be back.",https://resizer.otstatic.com/v2/photos/xlarge/2/65464851.webp
https://www.opentable.com/vons-steakhouse-and-oyster-bar?corrid=5727dd05-14a1-4ddb-9690-4f4dca027dca&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Von's Steakhouse & Oyster Bar,2192,4.3,Steakhouse,CAN$31 to CAN$50,4.3,4.5,4.3,4.2,"Vons Steakhouse & Oyster Bar is locally owned and has been proudly serving Edmonton the highest quality of beef and seafood available since 1988.

Featuring a premium dining room, and a premium casual lounge , with modern illuminated, marble 30 ft Bar and Sushi & oyster bar this restaurant has something for everyone.

Happy Hour from Tuesday to Friday starts at 4 p.m.- 6 p.m. We serve our full menu in both the restaurant and oyster bar areas. Our Oyster bar generally features over 10 varieties of oysters are are shucked to order right in front of you by our bar chefs. We offer 15 wines by a glass with specific attention to Pacific Rim and Canadian Wines.

Dining reservations are recommended but not required. We love spontaneous visits. The lounge, patio and oyster bar area is first come first served. ( some exceptions )","Read more Food was underwhelming.Service, just average. The meal was like a steak dinner you'd expect to get at Denny's. Definitely doesn't live up to the Von's from back in the day.  Great food and even better happy hours prices before any big event at Roger’s.  We ordered to be prepared rare and one medium.  They mixed up both steaks.  093437 also forgot initially to provide a side dish which was included with the meal.   The server was great and offered to replace the over cooked rare steak, which we declined.  They did take back and cook the other rare steak to the requested medium.  They also did make amends by providing free desert and a gift card afterwards.  We have no complaints about the quality of the food, they just got the order wrong.  The larger dining room/bar doesn’t have the same ambience as the original location. Read more Not the greatest experience food was just ok not great, it was our first time eating here will not be returning  This was our first venture to the new location. Our server was wonderful and professional but I suspect they were short-staffed, as service was slow. Our food was tasty, but one of the steaks was overcooked to the point it had to be sent back. The other steak was cooked perfectly, but the lobster tail that accompanied it was severely overcooked. We didn’t say anything about that since we already felt bad about having to send back one of the steaks. We were definitely disappointed given this is a high end steak and seafood restaurant, so you would expect them to get these things right. Read more The food was pretty good for it’s price, though the steak was still quite chewy. The employees were nice and welcoming, however, the service time was quite slow and it was not busy when we came.  Excellent everything.  Will be back again for lunch and dinner.  Oysters were large fresh and tasty and steaks were excellent . Great Service. Rolls/bread a bit stale 5 stars though  Von's was great.  I hadn't been since they moved downtown loved the new location although parking is a bit of an issue complicated if you are doing an  event after dinner.   Despite some electrical issues they were having which caused a lot of flickering lights, manual bills and any drinks that needed a blender not to be able to be done the experience was great and the food and service was lovely.  Really appreciated our wait staff Alan. Read more We went for our 5 year anniversary dinner specifically made the reservation for the lounge assuming it would be adult only as they have a restaurant for families. There was one large group with about 8 kids. The kids were running around the lounge no one was watching them the parents were all oblivious.  The servers repeatedly apologized to all patrons for the children. It wasn't their fault. The group with all the kids was made up of 4 couples . So 8 adults not one of them was even attempting to correct any children . Overall it was not the romantic evening we had planned. We left our kids at home for a reason. I was very disappointed that a manager didn't address the large group as they were finished eating and ask then to move on or at least keep there kids at the table. I would never allow my children to act like that in public. It really took away from our overall experience.  The food was good although I felt a bit over priced for the amount you got to eat. If I'm spending $300 dollars for a meal out with my husband. The over all experience is very important and it just wasn't great. That was our first time at Vons since it moved downtown . I don't think we will go back. To pay for parking and pay that much for a meal and then feel like your at a McDonald's the way all the kids were running around wasn't a great time. So it was our anniversary our reservations were for 6:30pm and we were home by 8:30pm. Not quite the evening out we had planned. Read more",https://resizer.otstatic.com/v2/photos/xlarge/1/61855209.webp
https://www.opentable.com/sabor-restaurant?corrid=5727dd05-14a1-4ddb-9690-4f4dca027dca&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Sabor Restaurant,4688,4.9,Seafood,CAN$31 to CAN$50,4.9,4.9,4.8,4.6,"SABOR Restaurant provides a rustic yet elegant atmosphere and a menu rich in European tradition—Portuguese, Spanish, French & Italian—in the heart of Downtown and the ICE District.

OceanWise certified, we offer Edmonton’s best, most-sustainable seafood menu as well as a meat & vegetarian options.

Professional staff, a trim but superlative wine list, hand-crafted cocktails, and SABOR’s menu & atmosphere make it the perfect spot—be it in evening wear before the opera, a suit before the big meeting, or in jeans hanging out with friends.

Made in house cakes are available upon request. Requests must be made 48 hours in advance, and can only be made via phone (780-757-1114). We do not allow outside cakes to be brought into the restaurant.

BODEGA Tapas Bar is a casual setting seated on a walk-in basis only. A great stop before or after a movie or show at one of the nearby theaters, BODEGA serves authentic tapas, our signature Sangria, and superb wine & cocktails.","Read more Service can be better and food was fair. Unfortunately the previous visits were more enjoyable thus a tad disappointing.  Hands down the best restaurant we’ve tried in Edmonton. Strongly recommended!!!  Our waiter Josh was outstanding and very helpful with wine choices and good pairings for our food choices. The food was delicious,  would highly recommend the meat platter and scallops. Overall this was an awesome experience and would highly recommend trying. Perfect dining for a special occasion! Will be going back for some delicious food and a good night out !  Incredible time. We don't get out much, but the experience we had was fantastic. Great memories.  It was our first time to Sabor and we had a very enjoyable evening. We loved the ambiance of the  ‘Boardroom’ as it seemed much quieter and more intimate. Initially the Server seemed a bit standoffish but he warmed up as the evening proceeded. The menu is significant and there were many dish descriptions that with we did not fully understand. There did not seem to be an appropriate time for questions so we ended up ordering the 3 Course Seafood Family dinner as the choice of 3 appetizers, lobster risotto with 2 types of fish, and 3 mini desserts were chosen for us. We also added an octopus starter.  The food was spectacular! We especially enjoyed the Piri Piri prawns, the octopus, the halibut, and the risotto. It was ALL so delicious and was exactly the right choice as we got to try so many different plates which is my favorite way to dine, especially if it’s a new restaurant for me. Our Server was attentive and became more engaging as the evening proceeded, which we appreciated. The service was excellent and we never wanted for anything. I’ve had caipirinha cocktails before and very much enjoyed them but the ones I tried tonight (original and another with warm fall notes) were a bit disappointing compared to how great everything else was. Overall I would highly recommend adding Sabor to your ‘must try’ list, especially for a special occasion, and be sure to request the Boardroom! Read more Fantastic food and service.  This is our go to restaurant in Edmonton.  Have never been disappointed.
They have changed the recipe of the Octopus and it is even better than it was before, which was fantastic before.  It was a packed house prior to the first Oiler hockey game.  The service wasn't effected by the number of people.  Food was excellant...  We had Sea bass which melted in our mouths  great job everyone  Ed  Food was amazing. Service was amazing. Great atmosphere.  I would greatly appreciate recommend , it was great food and great service  The sommelier was amazing and our server. Everything was perfectly cooked and seasoned. Amazing",https://resizer.otstatic.com/v2/photos/xlarge/2/50334427.webp
https://www.opentable.com/r/braven-edmonton?corrid=5727dd05-14a1-4ddb-9690-4f4dca027dca&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Braven,1416,4.6,Steak,CAN$31 to CAN$50,4.6,4.7,4.6,4.1,"A mecca for quality steaks, chops and fresh seafood in Edmonton's ICE District, Braven embraces a “go big or go home” attitude. Located in the heart of Edmonton’s ICE District, we invite our guests to abandon all hesitation, embrace adventure and enjoy life to its fullest.","Our host was very kind and nice. All of our food came out so fresh and delicious and we did not even wait that long either.  Great service by our server, Karen. Delicious steak and short rib. Mashed potato and carrot sides were great. Special shout out to host, Hasham - very friendly and great start to our visit.  Always an experience; great food, great atmosphere, great service and a great experience!  Waiter was slow to attend to us.
Forgot parts of order.
Meals were just ok except the bruschetta that was unreal!  Very good service and food was great.  The short rib was amazing! Unfortunately we were seated by a large group who were rowdy and yelling so it was hard to have a conversation.  The pasta came out dry and cold. The short rib waa over smoked. And also came out cold. The potao and veg. Cold. We didn't eat. Left and went to another restaurant not in the hotel.  Overall, the experience was really good with the quality of service and food as expected. The only negative was by the time we sat for dinner at 7 pm about 1/3 of the menu was sold out so I may not recommend coming on an evening with a Roger place event.  While the food was excellent I need to say that Braven had the best service I've had ever, this can't be understated in today's climate.
What a wonderful evening.
Thank you Read more It is fine. The food is just okay, especially for the price.  We chose this restaurant because it was in the hotel. The menu had good selections and the quality of the meats was excellent. There is a glass refrigerator where you can view the cuts of beef and whole salmon. Our server was great. He was prompt,  courteous, and very personable. The appetizers and entrees were cooked correctly and very tasty. The only thing I would mention is it is quite pricey. For 4 people the bill was almost $600, and my wife and I shared a steak. I would recommend and will return if staying in the hotel again. Read more",https://resizer.otstatic.com/v2/photos/xlarge/3/48576018.webp
