url,rest_name,number_of_reviews,rating,food_type,coupon,food,service,ambience,value,about_rest,comments,image_url
https://www.opentable.com/r/la-roca-winnipeg?corrid=007f5e75-dfae-4a7f-a851-49f64db9e143&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T19%3A30%3A00,La Roca,873,4.2,Mexican,CAN$30 and under,4.2,4.1,4.3,3.9,"Located in the heart of Winnipeg's downtown, La Roca is your gateway to a genuine Mexican culinary experience and hand-crafted margaritas, sangria, rare tequilas, and a vast selection of beer and wine. With a two-level patio offering live music every Thursday, Friday, and Saturday, our restaurant caters to a diverse range of patrons, from young adults to seniors. Our vibrant atmosphere sets the stage for an excellent dining adventure. Enjoy a dynamic ambiance, exceptional Mexican cuisine, and the warmth of our hospitality at La Roca—a destination that captures the essence of Mexico in the heart of Winnipeg.","Read more It was a Saturday, so kind of busy and I think they forgot to bring water, get drink orders for a while. I reminded the hostess that we had arrived and we quickly got the attention of our server. I think they made up for the lack of initial attention! No issues, and great service thereafter. Thanks!  Took a long time for the server to check in, including refilling water, and checking in on drinks. We ordered chips and guacamole, but we were only initially brought the guacamole. It took over 20 minutes for the server to bring us chips to go with our guacamole, but this was after our main dishes were brought out. By the end of the experience we were dissatisfied with the service, and the quality and small quantity of food did not overwhelm how poor the service was. Read more Great place to go before a concert event or Jets game.  Happy hour prices are very good value.  Service was friendly and always kept my glass topped up.  I would definitely recommend people try this restaurant!  Waitress was nice but forgot our drinks multiple times bright wrong drinks multiple times and left us unattended for long periods of time.  Didn’t even check to see if our food was good, forgot to bring more taco chips for the leftover guacamole
Likely won’t go back anytime soon.  Service was great very punctual and food was very good. I would’ve preferred it just a little bit spicier.

The only drawback were we had a table next to us that had a few drinks and we’re extremely loud. But nothing we could do about that. Read more Our server Taylor was so friendly and knowledgeable!  Poorest excuse for enchiladas I've ever seen -  flour tortillas thrown on a plate, undetectable chicken and everything drowned in cheap cheese. Really, fllour tortillas in an enchilada (!!) - at those prices you would think they could afford corn. Yech.

Everything else was just mediocre - except fot the guacamole which was good. Read more This was our first time there, everything went very well. The service was well timed, and the food was excellent . The selection of drinks was very good and an extra bonus was the margaritas glass was half rimmed with salt, so you had good control of how much with each sip. The only critique would be that there was no host and they definitely needed one tonight. The wait staff were taking turns covering, but it was very hard for them to keep up. Read more The service was fast and friendly. The food was amazing! This is my second time visiting and will definitely be back. Good value for your dollar!  I've tasted authentic Mexican food in my life and this is as authentic as it can get. Delicious food. The experience was great. The place wasn't too crowded, music wasn't too loud, drinks were good and service was great as well. Highly recommend.",https://resizer.otstatic.com/v2/photos/xlarge/2/62463466.webp
https://www.opentable.com/chop-steakhouse-and-bar-winnipeg?corrid=007f5e75-dfae-4a7f-a851-49f64db9e143&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T19%3A30%3A00,CHOP Steakhouse & Bar - Winnipeg,2036,4.5,Steakhouse,CAN$31 to CAN$50,4.4,4.7,4.6,4.3,"Chop was created for people who love sharing, connecting and everything steak. We are proud to offer a menu that shares our commitment to sustainable beef sourcing, serving high-quality cuts of 100% Canadian beef. It isn’t just the meat that’s special – it’s also how we cook it. Our Montague broiler cooks at up to 1800 °F, giving a beautiful crust and flavour to every steak! We slow roast our prime rib in a humidity-controlled oven, keeping it mouth-watering and tender. And we put this level of care into each of our hand-crafted drinks, and from-scratch dishes, including plant-based and seafood options, with something for everyone to enjoy. All of this quality comes with friendly hospitality in warm and energetic rooms. Open for lunch, happy hour, dinner and late-night!","Read more My first time at CHOP - enjoyed it very much. Delicious Food, great ambience and great service.  GREAT FOOD AND GREAT SERVICE THE DINNER ROOM WAS NOT TO NOISEY WILL BE BACK  Great service but unfortunately the steaks were undercooked and had to be sent back twice to a get a medium well, by the time we finally got our food the others had already finished their meals.

Everything was good as far as the host, server, restaurant and atmosphere.

It's was disappointing for the meal but a good time otherwise. Read more The restaurant was busy but the food and service was great! We were able to have a conversation without having to yell so although it was busy the noise level was reasonable!  Amazing experience, service was outstanding, food was delicious.  Made a reservation and was taken in right away with no waiting.  Restaurant was very busy but we were treated like the only people there.  Would highly recommend.  It has been a while since we’ve been to CHOP, so we were pleasantly surprised to see a bit of a revamp to the menu.  Starting off with a cocktail, I ordered the chop Mule which was absolutely fantastic!  So refreshing.  Then we ordered the Nashville Chicken Wings and the Steak Bites.  Both were delicious.  Highly recommend!  I ordered the featured soup, Prime Rib Mushroom.  It was very tasty, but not hot enough for my liking.  I also ordered the Loaded Mashed Potatoes.  Again, very tasty but could be hotter.  My husband ordered the Centre Cut New York Steak which was cooked to perfection.  My daughter enjoyed the half rack of Baby Back Ribs, and my son had the chop Burger.  All 3 were very satisfied with their meals.  The food was top notch and the service was too.  Our server was friendly, polite, and attentive.  He was very knowledgeable about the menu, answering questions and making recommendations with ease.  Overall, this was a great dining experience, and we are already looking forward to our next visit! Read more Great tasting food and nice service.  Highly recommend Chop.  Great food and great service. Even wrote happy birthday on my dessert.  Onion soup, spring rolls, seafood pasta and a burger and fries. All were ok.  The food was excellent taste and appearance.
The staff was very professional, kind and courteous.
I would recommend it to anyone. 
I will be back again! Read more",https://resizer.otstatic.com/v2/photos/xlarge/3/47470628.webp
https://www.opentable.com/r/the-rec-room-winnipeg-seasons-of-tuxedo-winnipeg?corrid=007f5e75-dfae-4a7f-a851-49f64db9e143&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T19%3A30%3A00,The Rec Room - Winnipeg Seasons of Tuxedo,348,3.9,Contemporary Canadian,CAN$30 and under,4.1,4.0,4.2,4.2,"The Rec Room redefines the meaning of fun with exciting arcade games, attractions, mouth-watering eats and live entertainment all packed under one roof. We’re Canada’s premier “eats & entertainment” hot spot!

For reservations of parties of 13 guests or more, please call the venue directly. We kindly request our guests refrain from making multiple reservations for a single large party. While we will do our best to accommodate large groups, we cannot guarantee multiple reservations will be seated together.","Read more Had a party reserved for 16 there on Saturday, Oct 5. 14 people showed up. Our server was really nice. The food was mediocre for price. I had the rec room burger and it tasted plain. I had to put ketchup on it. Fries were really good. Our friend had steak and upgraded to cesar. It was the smallest upgrade I’ve ever seen. For a $40 plate, it looked pathetic. Service was soooo slow. Our reservation was at 7:15 and we didn’t get bills until almost 9:30pm. I asked for a water twice and never got it. Read more The experience was disappointing. We were celebrating two birthdays. When guest arrived to the reservation a few minutes before 5 they were told the server wouldn’t be there until after 5. Our table had been seated fully shortly after 5. By 5:15 no one had arrived at our table to address us and we had to ask to have someone come by to get waters or drinks started. We were later told our server started at 5 which was why we didn’t have anyone approach earlier. Having the delay wouldn’t have been a concern had we not watched multiple people who were dressed as management and state they were from the management team standing around and talking casually for extended periods. The perception of the serving staff rushing around and the management team not contributing was consistent throughout the evening. Our server was lovely, very kind, but you could tell he was rushed to serve multiple tables quickly. When management approached to ask about the evening, they were dismissive of the concerns that while our server was lovely, it would have been helpful to have someone approach the table prior to 20 minutes after our reservation. If the guest are observing the amount of effort the serving staff are doing and the amount the management staff are having side conversations, there is an efficiency concern. Read more The service in the restaurant was really good. We each had a burger with fries after the crispy mushroom appy. The hamburger was really good, juicy, tasty! The Chicken burger was ok. It was rather plain. The slice of tomato looked like they use cherry tomatoes based on the size. Not really what I’d serve on a fairly large burger. The manager did come over and gave us $10 towards gaming, since we bought $100 game tag along with dinner.
However, even though we got scene points for dinner, the 1000 bonus scene points for buying the $100 game tag never got added to my account. I called but was told that I’d have to wait at least two days and then take it up with Scene.
Outside of those two items, we had a good evening. Read more Everything was great. We really enjoyed the visit.  Food was great, reasonably priced and the service was excellent  It’s convenient to dine here before/after playing games. The food has gotten much better than a few years ago even though it’s still pricey. $10 for a small dessert is crazy to me. Service was good though, and overall 7.5/10!  The food we had was amazing. I had a delicious mushroom pizza and my aunt had the watermelon salad and my husband had a burger and my kids had the chicken tenders and fries. Everyone said they really enjoyed the food but the pizza I had was specifically noteworthy. So good. The gaming was fun as always and the server was very friendly and efficient. Will come back again. Read more We had a wonderful experience. It was our son's birthday celebration and the staff were attentive from the beginning to the end. Our waitress, Alyssa, was exceptional: very friendly, considerate, and efficient.
We will definitely return.
Thank you! Read more 30 minute wait for a table, understandable on ""all you can eat"" wing night. After being seated, over an hour wait until food arrived. The first order of wings took over 30 minutes to be delivered, only started timing after I had noticed it was taking a while so I don't know exactly how long the first order took. Second order of wings took 38 minutes and at this time we were told a third order would take over 45 minutes. We declined and opted to leave instead. The wings themselves were good but there is only four flavours to choose from. I would much rather go to Smitty's for wing night, many more flavours to choose from and very prompt service. Will not be back for wing night here. Read more The food was good, once we got it. We visited for All You Can Eat Wings, but the service was incredibly slow. We'd hoped to get 3-4 baskets of wings each, but after 2.5 hrs, we had still only been served our second basket, so we ended up leaving. We didn't really have a dedicated server, as 3-4 different people came to take our orders, and we ended up having to order our drinks twice before they actually came. Our first order of wings didn't come out for over an hour, and even then, it was only for two members of our party. Upon the rest of the wings arriving, we immediately ordered more, but even once everyone had finished our first set of wings, we ended up waiting another hr before the second round came. we decided at that point it wasn't worth waiting for another round, and just asked for our bills. after waiting another half hour, the bills finally came and had a bunch of errors. we got our second round of corrected bills another 15 later, and paid. The special also came with some gaming credit, and ended up having to chase the server back down to get that, but they weren't able to add the credit to our existing accounts and had to get new accounts with a small amount of credits and had to run around with two seperate wristbands on. The gaming afterward was great, but I don't think I'll be returning for food any time soon. Read more Always a great place that’s accommodating of large groups. Good food and lots of fun games!",https://resizer.otstatic.com/v2/photos/xlarge/3/62503035.webp
https://www.opentable.com/r/cineplex-cinemas-mcgillivray-and-vip-winnipeg?corrid=007f5e75-dfae-4a7f-a851-49f64db9e143&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T19%3A30%3A00,Cineplex Cinemas Mcgillivray & VIP,3,3.9,Contemporary Canadian,CAN$31 to CAN$50,3.0,4.1,4.1,3.4,"Dinner, drinks, dessert and a movie—all in one place for an elevated movie night out! Indulge in signature cocktails and specialty food items served right to your seat or right at your table, in the adults-only theatre, or in our licensed VIP lounge.","The service was great. It did take a while for our food to come out. Portions were small compared to what you could get at other restaurants.

It was cold throughout the whole building.. Read more The service was very good. As to the food there was no dressing on the salad or the cole slaw.  Also we specifically asked to have our main course after having had our salad.  Unfortunately the kitchen sent it up almost immediately after we got our salad. Waiter apologized ,however, the meal arrived way too soon.
Because of accoustics noise level was somewhat loud.  Band was very nice touch with good music. Read more I have tasted better tacos. These had very little meat.",https://resizer.otstatic.com/v2/photos/xlarge/2/52218870.webp
https://www.opentable.com/the-merchant-kitchen?corrid=007f5e75-dfae-4a7f-a851-49f64db9e143&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T19%3A30%3A00,The Merchant Kitchen,1338,4.7,"Global, International",CAN$31 to CAN$50,4.7,4.6,4.5,4.3,"EXCITING. FLAVOURFUL. SHARED.

The Merchant Kitchen is an idea conceptualized by travel and adventure. Honouring the traditional ingredients, flavours, and techniques of Asia and Latin America, while incorporating the freshest local ingredients possible is our mantra.

Exploring cities and towns along the equator, tasting their food carts, and visiting the local markets have allowed us to bring that to the table an experience that enables guests to escape routine and enjoy flavours with friends and family.","Read more Amazing food and great service!!! The Korean Fried Chicken is a must.  Merchant is a quality place that continues to deliver great food and service.  Always amazing food  & great atmosphere. Totally recommend  Great urban vibe and spectacular service from our server, Danielle!  Food is a diverse selection and very flavourful. Most items are good for sharing. The Thai rice & Mango Tart are amazing! Seating is family style with large tables. A bit noisy but doesn’t take away from the experience. I recommend it.  Quick dinner before the hockey game.   Wine and dinner recommendations were spot on and the food was hot and tasty.  Corn under whelming
Dan Dan noodles and fried chicken amazing
Service- not great
But keep coming back for the fooooooood and ambience is nice. Read more We always order the same things during our visits and they are always fabulous…KFC, Thai rice and Street corn…all as our meal.  This is our third time dining here. The food is always amazing along with the service!
We haven’t had an issue with noise levels like some people complain about however maybe they were there on a night with larger groups etc. Can’t wait to try more menu items that we have not tried yet. The corn appy and shrimp appy are the best! The wine is all really great too! Read more Food without any personality or value, expensive for such a simple offer",https://resizer.otstatic.com/v2/photos/xlarge/2/42388381.webp
https://www.opentable.com/r/nonsuch-brewing-co-winnipeg?corrid=007f5e75-dfae-4a7f-a851-49f64db9e143&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T19%3A30%3A00,Nonsuch Brewing Co.,124,4.7,Tapas / Small Plates,CAN$30 and under,4.8,4.8,4.9,4.6,"Please note: if your desired reservation time is not available, we hold lots of space for walk-ins.

We started Nonsuch to give back to our home, help grow our culture, and make Manitoba proud. We're proud to offer shareable plates with a focus on local ingredients as well as our award winning craft beer brewed in-house, just steps away from our dining room.

We make our beer. We make our food. But we founded Nonsuch to make your special moments. To appreciate your entire experience. From quiet, intimate gatherings to the grandest of celebrations, it's our honour to be in the heart of your moments.","Read more A nice change from the usual restaurants that we frequent.  A few more options on the menu…would make it perfect!  Delicious burger!  Fantastic beef tartare. Great,  speedy service. We were there before a  show so we did not have time to linger.  We had ample time to finish our  drinks and food.  Love this place! Best burger ever!!! The atmosphere is nice as well. Great for 2 people or a group.  It was delicious and our friends from Kelowna were very impressed with the food, decor and will come again when they return.👍🏼  We've been going there for years, and they anyways make us feel welcome and at home. 

The food is always great (their menu rotates, but everything we've ever ordered the has been excellent), the ambiance is always good, the service is always top-tier. It's one of our favorite places in the city. Read more Our server was very knowledgeable about the menu. She was pleasant and attentive. The food was delicious and not too much.
The beer was also very tasty.  Wonderful service, great drinks, and an excellent server  Fantastic service and delicious food, not to mention the excellent beer. This place is one of our favourite spots in Winnipeg. On this occasion, we attended a pop-up guest chef for First Fridays. Although we were initially disappointed to hear they were sold out of most of the menu (at 9:15) somehow the stars aligned we got to taste nearly everything. Thanks again to our fantastic servers for making that happen and treating us like royalty. I hope to return again soon as I work quite close by. Read more Always a blast, never experienced a disappointing First Fridays here!  The food, staff, and atmosphere were absolutely fantastic. Having been there now, I can see why it is difficult to get a seat from time to time. Very nice place to relax, have a bite, and a drink or two before a shownat the theatre oe concert hall.",https://resizer.otstatic.com/v2/photos/xlarge/3/56911586.webp
https://www.opentable.com/cibo-waterfront-cafe?corrid=007f5e75-dfae-4a7f-a851-49f64db9e143&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T19%3A30%3A00,Cibo Waterfront Cafe,2067,4.6,Italian,CAN$31 to CAN$50,4.6,4.6,4.6,4.3,"Take your tastebuds on a trip to the Mediterranean at Cibo Waterfront!

Inspired by our historic waterfront location, Cibo pairs a quality all-day menu with craft cocktails and upscale wines.

Menu highlights from our scratch kitchen include hand stretched pizzas, several unique takes on bruschetta, and an eclectic compilation of modern and classic Mediterranean cuisine.

Our chic, brick building lights up in the day time sunshine or provides a warm atmosphere in the evening, with unique and stunning views of Winnipeg’s iconic Red River and Esplanade Riel. A comfortable ambiance to celebrate life.","Read more Party of 6 for my daughter’s birthday. Service was excellent. Noise level combined with odd table shape made it difficult to have a shared conversation. Difficult to hear serving staff as well. Food was imaginative. Pear and prosciutto pizza was delicious but lacked zip (we squeezed lemon juice over). Portions are large - starters all made for sharing.
We enjoyed it and were delighted to find a place open on Thanksgiving Monday. Read more Waiter was attentive (not intrusive) and knowledgeable, great food, well presented. On a Monday with so many other restaurants closed, this one was busy - and a bit noisy. Otherwise a great time. We’ll be back!  I love the room and airy feel overlooking the river.  Its a beautiful spot.  The place was hopping and the mood upbeat.  It was a little loud though.  Excellent Experience.  Will be back as we had a wonderful time.  An exquisite setting for Dinner. The food and service was second to none. A must if you visit Winnipeg  This is a lovely place for friends to gather for a good meal with excellent service and ambience conducive to conversation. I had the octopus and it was excellent, everyone enjoyed the meal. We will be there again.  It was one of the best times I have had there it was absolutely amazing 10/10 would re too any and all  Super nice place friendly service. When I go there I usually get the bruschetta as I love the varied flavours. Small note: this time there was barely any ricotta (it was spread thin like butter) which made the fig ones quite dry. Rest was delicious as per usual (and no I didn’t mention it as it was a business meeting with out of towners.) Everyone ordered something different and they all enjoyed. Very energetic in there so expect high noise level.
Would recommend. Read more This is a great restaurant. The staff is friendly and service is fantastic. Our food came out as ordered and was hot and steamy. Plus it tasted delicious! Love the ambiance and a diverse menu but not overwhelmed by  too many choices. We will return.  I've had many 5 star dinners here - this just wasn't it. The produce let down the bruschetta (fridge-y tasting apple, flavorless tomatoes). They were so kind to make the blueberry mule into a mocktail, but mine was loaded with berry bits/seeds. I've had the cocktail many times - it's my fave, but this one was unfortunately not great. But I'll definitely go back, as I had superb experiences in the past! Read more",https://resizer.otstatic.com/v2/photos/xlarge/3/42351875.webp
https://www.opentable.com/529-wellington?corrid=007f5e75-dfae-4a7f-a851-49f64db9e143&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T19%3A30%3A00,529 Wellington,1870,4.8,Steak,CAN$51 and over,4.8,4.8,4.8,4.5,"Experience the splendor of 529 Wellington, Winnipeg’s Premier Steakhouse. The beautifully restored historic mansion offers intimate dining in 8 elegantly appointed rooms, as well as a beautiful 2-tiered riverside terrace for alfresco dining. 529 serves exclusively Prime Beef, the best available in Canada, as well as fresh fish and seafood. The restaurant is proud to offer Manitoba’s highest rated wine list, Wine Spectator Magazine’s Best of Award of Excellence since 2004. Please note: 529 Wellington is a two-storied building without an elevator. Please indicate if there are any mobility issues for any diners in the party.
*Please note 529 Wellington does not permit outside food and drink due to our food safety program.","Read more Food and service were very good.  Pretty Lou’s adjacent tables.  An amazing experience as always. Great food, service and ambiance. They always strive to go above expectations. Keep up the good work. We will be back again soon!  Serving staff are incredible. They are knowledgeable, witty and efficient. The building it self is spectacular. Food delicious.  Great stuff, wonderful atmosphere and awesome food  Gio was our server and he was absolutely fantastic. Our food was awesome and the Cocktails were perfect.  Our first time dining at 529. Loved everything we ordered. The beef Wellington was by far the best I’ve ever had. Definitely worth leaving room for the blueberry bread pudding, amazing. Roger was our server. He was excellent. Looking forward to returning.  Such an amazing experience. food was so good. perfect spot to celebrate a birthday anniversary or anything special.  Wonderful ambience.  Little pricey.  Nice for special occasions.  The $100 12oz steak was flavorless and slightly burnt.  I've eaten here several times before and always loved it. Took a friend for their first time and we were quite disappointed  Wonderful food and elegant ambiance. Our server was excellent and so nice.",https://resizer.otstatic.com/v2/photos/xlarge/1/55589266.webp
https://www.opentable.com/r/the-keg-steakhouse-and-bar-garry-street-winnipeg?corrid=007f5e75-dfae-4a7f-a851-49f64db9e143&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T19%3A30%3A00,The Keg Steakhouse + Bar - Garry Street,3177,4.5,Steakhouse,CAN$31 to CAN$50,4.5,4.6,4.4,4.2,"The Keg Steakhouse & Bar serves the finest cuts of succulent steak, aged for tenderness and grilled to perfection. Prime rib is a Keg specialty, slow roasted, hand carved and perfectly seasoned with special Keg spices. The restaurant also serves delicious seafood, memorable appetizers, crisp salads and decadent desserts. A casual ambiance and friendly, very knowledgeable staff are proud and reliable trademarks of The Keg Steakhouse & Bar. You will find a truly comfortable and satisfying dining atmosphere accompanied by a fun and up-scale bar setting where guests can enjoy an excellent wine list, signature Keg martinis, and fresh squeezed juice cocktails.","Read more I ordered the steak and 🦞 lobster.  The lobster was pure much. It was worst I have ever had. My wife's ribs were tough and not good. We live across the street.  Go there a few times a month. Time for a change. My KEG size Cesaur was worst ever. I'm not sure why it was all so terrible.  But it was.  Excellent meal and server. Large servings which were delicious. Thank you for the birthday dessert!  Our only disappointment was how fast everything was.  We wanted a nice evening dinner.  We just started our appetizer, and the bread and salad arrived.  The main meal also came very quickly.  We were completely done eating and paid within 50 minutes.  This timing is great for a lunch but too fast for a Saturday evening date.  great location not overly big restaurant .great service and excellent tasty food  A fantastic get together with friends made extra special by our new friend and server Kaylyn who made our evening even more special.

We enjoyed the calamari and prime rib

Always a pleasure to enjoy the Keg . We will be back. Read more Appreciate that they take reservations.  Server, Jake, was attentive but no overbearing.  The food was excellent.  8 year anniversary. The food was fabulous our server was spectacular.  Food was great - excellent service - but WAY TOO DARK!!! 

No candle, no light near our table - could hardly see the menu.   

 Would appreciate at least a candle where there is no other light.  It would have made everything perfect. Read more My husband and I celebrated my birthday there. We had a lovely evening, great service, amazing food, we will be back!  Outstanding service unfortunately issues with food.",https://resizer.otstatic.com/v2/photos/xlarge/2/51434898.webp
https://www.opentable.com/r/gather-craft-kitchen-and-bar-at-assiniboine-park-winnipeg?corrid=007f5e75-dfae-4a7f-a851-49f64db9e143&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T19%3A30%3A00,Gather Craft Kitchen & Bar at Assiniboine Park,1200,4.5,Contemporary Canadian,CAN$31 to CAN$50,4.5,4.7,4.6,4.3,"Welcome to Gather Craft Kitchen & Bar –Globally Inspired Modern Prairie Cuisine

Around the world, people gather with food for celebration, ceremony, and connection. Gather Craft Kitchen & Bar, located in The Leaf at Assiniboine Park, explores food from across cultures, incorporating fresh, locally-sourced, and seasonal ingredients from our gardens. Craveable dishes incorporate traditional flavours and techniques from around the world, inspired by the nature that surrounds us all. Pickled, preserved, fermented or straight off the vine, local ingredients are creatively prepared to highlight the amazing growers and farmers in Manitoba. Inventive, botanical cocktails made with herbs grown in-house, seasonal fruits, and house-made syrups will delight the senses.","Read more It was lovely; the ambience was lovely, the customer service was excellent - we enjoyed our experience very much, scallops are superb!!  Amazing as always! Our server Ava was so lovely and helpful as I can never choose from all the tasty options. Will definitely be back 😋  Our waitress Eva was excellent.  We had a special
Off the menu request and she was very accommodating.  Such a fantastic dining experience to Winnipeg. Everything from the ambiance, to the service, food, wine and cocktails exceeded our expectations and can't wait till the next time we can go back.
Highly recommended for anyone looking for a great dining experience on any level of date night out, enjoying friends or business dinners.
Thank you Gather and your team for creating a memorable night out! Read more Great food and service - love the lighting and ambience the best!  Food is lovely. But wish they would change menu up a bit. Or have some daily specials. Cocktails change with Leaf theme change. Would be nice if some menu items did too.
As a member I'm there often so some variety would be nice.  Quelques sélections locales. Mocktails créatifs. Situé au coeur du parc Assiniboine.  The staff was wonderful, especially with our cranky toddler (Ava), the food was spectacular and was served so fast! Our favorite restaurant!  The food was good the service was great. It was a little crowded i found. Tables too close together and music a little loud.  Amazing vibe, and incredible food!! Definitely a special place Winnipeg is lucky to have!",https://resizer.otstatic.com/v2/photos/xlarge/1/53532491.webp
