url,rest_name,number_of_reviews,rating,food_type,coupon,food,service,ambience,value,about_rest,comments,image_url
https://www.opentable.com/r/bridgette-bar-toronto?corrid=5babd40a-f67a-48d8-9a99-a22e82d2c483&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Bridgette Bar - Toronto,176,4.6,American,CAN$31 to CAN$50,4.6,4.5,4.6,4.4,"Chill locale with arty flair for clever, chef-driven small plates & entrees, plus unique cocktails.","Nice place.  Good food and wine.   Very loud.  Not sure all the staff knew what their roles were.  Excellent service, food and ambiance. I’ll come back soon  Server Daryl was efficient, had good food recommendations, thoughtful - had complimentary cake and card for the birthday celebrant. Drinks were good for the happy hour and food was tasty! Excellent service! Thank you!  Avoid happy hours! Took them 37min to make us a pizza and the restaurant wasn’t even with half of their capacity. We even gave up on ordering a second one.  The food and service were excellent. The garlic bread and smashed potatoes are so good! I could eat them every day. The pastas were perfectly cooked and tasty. love this restaurant.  The food and decor are lovely, really good value for money and my group had a great time. They dim the lights around nightfall and it got really dark, a bit too dark and romantic for a work dinner as the candle in the middle casts very little light. But everything else was perfect, Great spot overall.  Very cool interior design and delicious food. Service was fantastic!  Thanks to Emma, for a lovely evening and great recommendations on the cocktails and banana pie dessert!  Excellent spot at “The Well”!  Food was great, interesting selections to choose from.
Espresso Martini not the greatest.  Actually was a really pleasant surprise dining here. Not that I expected badly, but it’s always nice to pick a random restaurant to try and have it exceed expectations. I came with my friend and we had the duck main platter, beet salad, fried polenta, and tuna crudo. These were super filling and delicious. The portions were quite generous. flavours AMAZING. The duck and the crudo were our favourites but everything was tasty.

Service was good and dishes came out at a good pace.

I don’t often repeat restaurants but I’m sure I’ll be back for round 2. Read more",https://resizer.otstatic.com/v2/photos/xlarge/3/67601578.webp
https://www.opentable.com/r/terroni-price?corrid=5babd40a-f67a-48d8-9a99-a22e82d2c483&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Terroni Price,4404,4.5,Italian,CAN$31 to CAN$50,4.4,4.4,4.5,4.1,"Located in the heart of Summerhill, Terroni Price is our mid-town restaurant offering three floors with private or non-private or cocktail dining options. Whether it’s a family night, a lunch meeting, or dinner before a night out, everyone feels comfortable at Terroni Price with its vibrant and welcoming atmosphere.","We had a great lunch upstairs at Terroni Price.  The portion size was perfect, and I felt like we got good value.  Our server was very good, offering some recommendations for food choices and specials.  Terroni Price is always my favorite restaurant for great Italian dishes and the staff create such an upbeat atmosphere!  Consistently delicious food. Service can be a bit ""distracted"" because they get very busy...but they are busy for a reason. Delicious food.  Food was good.
We were sat on the main floor instead of upstairs which was disappointing. Extremely loud hard to hear and not a relaxing dining experience for an anniversary. We did mention that when booking also in the app. The lights in the shelving niche were way too bright for someone sitting across from them as they were harsh and put the person in front of them in shadow.
Appetizers came right away but Very slow timing for mains it was too busy and felt the kitchen was having a hard time keeping up.
There should be an option for seating preference up or downstairs when booking. Read more Excellent food at reasonable prices. Good portion sizes. Outstanding pizza.
Very pleasant service from friendly servers who are not at all intrusive but are available when needed.

Highly recommend for a very good Italian meal. with friends or faimily. Read more Wow. This was the last time I eat at Terroni. Food was cold, service was awful and somehow we still managed to spend $$$$.

Competition is now fierce in the neighbourhood. No longer a good default restaurant  First time at this location. It looked fairly small from the street, but it is huge! Our server was very friendly and attentive. Cocktails delicious and strong. Food as good as the Adelaide location, which is my regular. My only complaint is that the music is horrible. Crappy, bass-laden techno crap. Maybe that’s the in thing now or maybe I’m getting old but it was loud and unnecessary.  It won’t keep me away but it could be so much better ambiance-wise. The perfectly Al dente pasta will bring me back though. Read more Staff truly tries. My favourite location of their restaurants.  We love the food at Terroni’s at Price, but why is it always so noisy?

We think the restaurant should seriously think about investing in some sound buffers for the 2nd floor dining area.  My friend and I hadn't seen each other for a few years and was a catch up dinner. He had a beer and I enjoyed a negroni. We both had Pappardella... he had the special Funghi (all mushrooms) and I had the Iosa (sausage). I have had this dish several times and this time there wasn't enough sauce. Our server didn't bring us fresh pepper, parmasean cheese. I was going to order a glass of wine with my dinner, but he never came back to ask. It wasn't that busy, so not sure. Then was asked if wanted dessert, we both declined. Read more",https://resizer.otstatic.com/v2/photos/xlarge/2/69043531.webp
https://www.opentable.com/r/hys-steakhouse-toronto?corrid=5babd40a-f67a-48d8-9a99-a22e82d2c483&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Hy's Steakhouse - Toronto,3507,4.7,Steakhouse,CAN$51 and over,4.6,4.8,4.8,4.2,"Hy’s Steakhouse is a Toronto staple for perfectly grilled, Canadian Prime Grade Steaks. Located at the corner of Richmond and Bay, Hy’s flagship restaurant features modern splashes of colour and art, while staying true to the warm wood and clean lines and textures of the classic steakhouse tradition. Expertly crafted cocktails, Hy’s famous cheese toast and tableside classics, await you alongside the warm hospitality that you have come to expect from Canada’s Premier Steakhouse. Explore the stunning, expansive bar and lounge on the street level, wraparound dining room on the mezzanine level, and private dining rooms on the lower level.

Payment methods include: Visa/Mastercard/Discover/Cash/ApplePay/Debit/Hy's & Gotham Gift Cards
***
We are unable to accept Pre-Paid Credit Cards***","Read more Amazing food, atmosphere, and service. Thank you for making such great memories.  Amazing food, service and ambiance. Live music but perfect volume. Service was excellent.  Ambiance is amazing ! Few key points, esp with an upscale restaurant like this, a firmer dress code would be nice as seeing people in their sweats changes the experience esp when I put and effort with my fit . The cocktails are phenomenal ! The steaks were amazing ! My porter house is perfect ! The peas with the lamb needs to be pureed but the lamb itself is delicious. the beef tartare is amazing ! The Cesar salad is mediocre, the banana foster is a must ! Delicious !
Our server, Raymond, is also amazing on recommendations ! Will def come back ! Read more Great place! Freeman was excellent as were all the other staff, however, our interactions with him were more than the others. Freeman offered to, and fulfilled, an ask of my wife to make her a specific steak sauce. Thank you.  Just outstanding food quality and the service was over the top! You won’t be disappointed when you choose Hy’s!!  Shannon was by far the best waitress I have had in a very long time.  About the time my glass was down to the last couple of sips, she would magically appear and refill it.  The food was fabulous and music in the bar was really great.  Definitely will head back there when I come back to Toronto.  Excellent food, lovely atmosphere and attentive service.  Had a wonderful experience at Hy Steakhouse. They were very accommodating and staff made great efforts to entertain our little ones. Food was great! We really enjoyed everything.  We waited 10 minutes after seating for a waiter to arrive.  He was very nice but by that point my son and I started to feel like Paris because the other tables were getting the type of service we have gotten in the past.  The steaks were good but not great.  We both had Rib Eye’s and mine was a touch undercooked (I asked for medium rare) making some parts of the steak tough and chewy.  Was it horrible, no they were good steaks but for the money I expect perfection.  We did not get it.  Restaurant was also quite loud, not really like the experience at their old location.   We won’t be going back.  Desserts were good, I have to give them that but that’s not why you go to Hy’s.  While I am it we ordered the Caesar salad and split it.  It was ok but the portions were a bit short and croutons scarce.  Not what I expected. Read more Really nice! Good food, good service. Good location. A little loud, but nothing surprising there.",https://resizer.otstatic.com/v2/photos/xlarge/2/27064655.webp
https://www.opentable.com/r/blue-bovine-steak-and-sushi-house-toronto?corrid=5babd40a-f67a-48d8-9a99-a22e82d2c483&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Blue Bovine Steak + Sushi House,214,4.5,Steak,CAN$51 and over,4.4,4.6,4.5,3.9,"Liberty Entertainment Group's 2024 project in the iconic Union Station. Blue Bovine combines the traditional steakhouse with the traditional Japanese sushi house to fashion a distinctly modern dining experience. Combining custom elements, such as exclusively designed Canadian maple wood furniture, manufactured in Toronto with bespoke artwork, handcrafted lighting details, and a warm colour palette of deep reds, seawater blues and layers of white to reflect Toronto's four seasons. Honouring the integrity of local and natural elements, the restaurant's ethos is expressed both through the commitment to local menu ingredients on the plate and local and natural material honesty in the design.","Read more Blue Bovine was a great place! It Service staff were great despite it being a full house for game day. Food was delicious, fresh and well cooked. Ambiance was a bit on the loud side with a DJ, and overall still don’t think it was worth final price, but came really close. Will probably come back!  It was okay.  There is no happy hour when it’s a game night.  Great restaurant!! Really good service. Loved the food. Beautiful ambiance. I recommend. Loved the 35 days steak, oysters, and Lobster mac and cheese. For dessert coconut cream pie!  Great ambience, close to Scotia Arena, in the pricey side. Enjoyed the dining experience  An unusual experience with the wine sommelier!!  Unfortunately made our time at Bovine less than we would like.

I dine often and I was disappointed with our overall service:)  Slow service, glasses smelled, I left for bathroom and returned with dirty plates still not removed.  food was good! beautiful restaurant! Chill atmosphere!  Great spot ....food is great and service very good  The absolute best experience we’ve never had. Food was fantastic. Our server Amy (and literally every other staff member) made our anniversary so special and checked in at the perfect times without making us feel overwhelmed. Amy made excellent recommendations and was so kind. Noise level was perfect as you could still have a conversation without getting a headache. We didn’t want to leave ! Read more Robert our server and his team were incredible. We have gone to many restaurants under the Liberty group umbrella but Blue Bovine is definitely our new Favourite. The Sushi was actually my favourite part of our whole meal but it was all made to perffection .",https://resizer.otstatic.com/v2/photos/xlarge/3/62371586.webp
https://www.opentable.com/r/la-pizza-and-la-pasta-eataly-yorkville-toronto?corrid=5babd40a-f67a-48d8-9a99-a22e82d2c483&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,La Pizza & La Pasta - Eataly Yorkville,1994,4.3,Italian,CAN$30 and under,4.4,4.3,4.3,3.9,La Pizza & La Pasta features two of the best-loved Italian dishes: Napoli-style pizza and al dente pasta. Enjoy our seasonal selection just steps away from our expert pasta chefs and dough-slinging pizzaioli (pizza makers).,"The food is terrible I’m sorry to say it I didn’t like it at all.  We had lunch with my friend from Mexico, who was visiting Toronto. We ordered pizza. It was okay; actually, how could a pizza be distasteful??? 
If it's Eataly, one should expect to have one of the best pizzas ever eaten, but it wasn't! 
We ordered a bottle of wine; again, it was very ordinary and priced! 
I don't know what is wrong with Eataly, Toronto. This was my fourth visit to different restaurants there, and all was ordinary! It's quite a success to get this in Italian food!!! Read more We had two of the Thanksgiving specials and, oh my! The short ribs were delicious, in a very generous portion.  This is a very good option for a simple meal in Yorkville.  We had spent the afternoon at ROM and had a concert at Massey later.  It was a perfect location.  The salads and pizza are very good.  It is good quality ingredients that make them so tasty.  I have always had great service here.  Good Pizza, great Lasagna. Seating layout could be improved.  Best Toronto pizza in :5 years - closest to Montreal style I’ve found.

Bethanie, our server, is a remarkable talent and sets a high bar/example of attentive service.

Only downside was a few items not available on the menu and ending up with my third choice on a beer. Read more This is our third time eating at this wonderful restaurant this week while on vacation here in Toronto. We love the food and atmosphere. Our server Bethany was absolutely marvelous. Her knowledge of all the dishes they offer and recommendations were spot on. She added to an already excellent experience here.  Is great, fancy but affordable. Nice for weekend brunch/lunch  This has become one of our favorite restaurants. The service is impeccable, the food delicious and love the ambiance.  I don't like the team service that you service a guest. If you use this method then the quarterback is the first person approaching and taking the order. They should be coming back to the table more often to make sure items have been delived and if anything is outstanding like more water.",https://resizer.otstatic.com/v2/photos/xlarge/5/28943464.webp
https://www.opentable.com/r/abrielle-restaurant-toronto?corrid=5babd40a-f67a-48d8-9a99-a22e82d2c483&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Abrielle,294,4.5,Mediterranean,CAN$31 to CAN$50,4.4,4.5,4.5,4.1,"Introducing Abrielle, where Coastal Mediterranean allure meets the heartbeat of downtown Toronto. Abrielle is more than just a restaurant; it is a monument to timeless charm, enveloped in a vibrant energy that saturates every moment. Our ethos revolves around the art of exceptional hospitality, dedicated to serving, inspiring, and elevating your dining experience.

Our relaxed luxury is approachable, yet rooted in classic elegance and sophistication. Enjoy bright flavours, vegetable-forward plates and stunning wines that create a distinctive style that’s all our own - stripped of pretense and full of vibrancy. We are warm, inviting and inclusive. With the sprawling metropolis as our backdrop, we are an oasis for people to share, connect, conversate and enjoy.","Read more A fabulous experience! Every morsel was a delight. The sea bream was cooked to perfection and the octopus was the most tender we’ve had. The preparations and presentation were unique but appropriate.
Service was genuinely friendly, helpful but unobtrusive.
Highly recommend ⭐️⭐️⭐️⭐️⭐️ Read more My party of 3 were early by 45 mins and we
were gracefully accommodated.  Booked dinner at Abrielle for anniversary dinner with wife. While food was outstanding, service was extremely slow, with us waiting for almost an hour till appetizers arrived (raw tuna and burrata). Forty-five minutes after appetizers arrived, our entrees (ravioli and sea bream) finally arrived. No checking in from waitress for updates on the food, and when entrees initially came, wrong order arrived (ten minutes wait after that). No comps made for wait and service, no acknowledgement made regarding our anniversary (note was made for reservation). Initially had planned to order dessert as well, however given prolonged wait time, decided against.

For the price point and reputation of restaurant based off online reviews, I expected more. Will not come again, do not recommend. Read more Meals are excellent but small, it’s expensive but the food is very good. It got a little too noisy at the end of the night.  Chef Experience option for the meal was fantastic. Service and atmosphere was bang on!  Good food and ambience but very slow service. Our reservation was for 7:30p and our food was slow to come out. By 10:10p we still hadn't received our dessert. Our party ended up leaving early without it because we had been waiting a while and had an early start the following day.  I only write reviews when it’s really necessary, in this case it is , I went to this restaurant with a group of 6 people , we order some appetizers including some oysters , we waited almost 30 minutes and they didn’t bring the oysters to the table , so we had to ask them they apologize making up very bad excuses like they were short of staff , you just need to open the oysters anyway , after the waitress gave the option to cancel my order if I wanted too , so we canceled , they brought the main course and it was so disappointing, I ordered half a chicken with mushrooms very simple and forgettable , for the place and price I was expecting much more.
The rest of my family order different things like ravioli, fish and octopus  we all agreed that the food was very plain , not too much flavour , very pricey for what they serve not worth your money . Read more Food and presentation  was excellent. Kitchen was slammed so timing wasn’t great but they make up for it in service and attentiveness. Overall a great dining experience we will definitely do again.  Exceptional food and the waiters were very pleasant and efficient.  The food was good, but not worth the price tags imo. The flatbread was so tasty and fresh. Whipped eggplant was bland and fell short. The mushrooms croquettes was delish. Roasted brocollini was yummy but the lemon sauce it sat on top of was reminiscent of a melted citronella candle. It was SO intense. Do not take even a small dab of the sauce on its own.
Ambience was lovely until 8pm when they started BLASTING EDM music. Everyone was still eating dinner and it was hard to hear each other. This is more of a 9pm-10pm move. Decor was cutesy. I recommend the bar side, more ambient lighting. Our server was awesome and perfectly on time and not annoying. She came by the perfect amount of times. Water glasses always filled which I love. Read more",https://resizer.otstatic.com/v2/photos/xlarge/3/58969231.webp
https://www.opentable.com/r/lena-restaurante-toronto?corrid=5babd40a-f67a-48d8-9a99-a22e82d2c483&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Lena Restaurante,2787,4.3,South American,CAN$31 to CAN$50,4.2,4.5,4.4,4.0,"Chef Anthony Walsh is the driving force behind Leña, a stylish homage to South American cuisine, with unique Spanish and Italian influences. Named after Chef Walsh’s mother-in-law, Elena, from whom he draws a wealth of culinary inspiration, Leña spans three floors at the Saks Fifth Avenue flagship store at Yonge & Richmond.","I have visited twice now. Both times exceptional. Food was on point and quick out the kitchen. My steak cooked perfectly. Ambiance is beautiful and everyone is super friendly. We arrived early, willing to wait,  but they made accommodations to seat us as soon as they could which was much appreciated. Service was friendly and attentive.  Food was not good at all.  For what they charge, the food and service was horrible.  We felt rushed to leave, the burger and beef Tatar was tasteless. 

Now I know why the restaurant was empty on a Saturday night in the heart of Toronto. Read more Fantastic place for a nice dinner with business associates. The service was great, although our entrees took a bit to get to us. 

The taste profiles were a perfect combination and everyone left satisfied. Would definitely recommend this place.  The service was great and really loved the small plates  Leña never disappoints. With a menu full of classics from Latin America and Spain, making a choice is difficult. The yuca fries were a perfect shareable, the steak with chimichurri grilled to perfection, and the presentation for delectable mahi mahi, a work of art. Desserts are incredible too. And it can all be enjoyed in a sumptuous space, whether in the Art Deco inspired bar area or in the dining rooms. Read more The place was lovely but I was surprised to be seated in a completely empty separate dining room rather than the main space that was pictured. Everything was fine about the service and the food but why put us in a separate empty room when the main space with the gorgeous bar had empty tables. Feels a bit like false advertising.  I had an an amazing time eating at Lena last night! Attentive and knowledgeable service, delicious food, I will definitely be back! Thank you for a great night! That rabbit and escargot dish was a standout as were the empanadas and cocktails.  Tan delicioso! Really enjoyed our entire experience. Rahul provided attentive and warm service and was very knowledgeable. Food was superb, had a varied selection of dishes from Faina and Scallop Ceviche to Veal Milanese and Mahi Mahi, each dish had it's own Character and Unique flavor! Mark and the management team are doing a wonderful job!  My food arrived cold and tough. The server had it microwaved and returned. Drinks took forever - our food was rushed to order before our drinks even arrived. We were there to celebrate a special milestone (indicated in the reservation) but it wasn’t recognized or acknowledged. We had to request water to be refilled. Generally inattentive; no effort made to apologize for the food and the service. Read more Delicious Leña hamburger with fries, refreshing Leña mock-tail and excellent, friendly service.
We plan to return!",https://resizer.otstatic.com/v2/photos/xlarge/2/42721608.webp
https://www.opentable.com/r/earls-kitchen-and-bar-financial-district-toronto?corrid=5babd40a-f67a-48d8-9a99-a22e82d2c483&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Earls Kitchen + Bar - Financial District,3672,4.4,American,CAN$31 to CAN$50,4.5,4.4,4.4,4.1,"Welcome to Earls Financial District, our restaurant located in the heart of the bustling Financial District. Step in and enjoy our expansive patio, perfect for soaking up the summer sun while enjoying a tasty meal. Located within walking distance of the iconic Rogers Centre and Scotiabank Arena, our restaurant is the ultimate destination for pre-game fuel or post-event celebration. Join us in our newly renovated lounge and enjoy our daily Happy Hour and enticing drink features that are sure to satisfy every taste. Whether you're seeking a relaxing evening with colleagues or a vibrant night out with friends, our location offers the perfect blend of ambiance and convenience. Immerse yourself in the energy of downtown Toronto while enjoying our delectable cuisine and exceptional service. Your table is ready. We can't wait to see you!","Read more The Music was extremely loud in the lounge, making it really challenging to have conversations  Friendly and competent staff, delicious food, quick service, great tables and seating. Highly recommend!  Everything anz everyone were great. Volume of the music was too loud for the dinning area as we had a hard time hearing each other and we are not old and love music but not to the level where you can’t hear the person right beside you.  Great dinner. Service was so /so. Food delicious.  Experience was OK. Server seemed new, which was fine, but the lack of experience and timing of things to come to the table were a bit unacceptable. It was 2pm on a Saturday afternoon in the financial district. It was dead, and service was lacking. Manager noticed and tried to make it up by offering dessert to the kids, which was nice, but overall the place seemed to just run slowly. The way the restaurant is set up kind of lets guests see everything. So, when you see your drinks at the bar for 10 minutes and your server isn’t aware or when you see management sitting at high tops chatting with one another while guests are waiting for something as simple as a bottle of water, it leaves a bad taste in your mouth. The staff was kind but we won’t be back. Read more try the  Clam Chowder soup, delicious! great place!  Great experience. Service was exceptional from our waitress! The level of care and attention to detail was great.  Visited on Monday, October 7th, and had amazing service from Will (our amazing server), and Paige, the guest experience manager who brought us inside. They were incredibly kind and made it a special day for my Girlfriend, whose birthday it was. Thanks so much Will and Paige!  Our server was warm and friendly, the food aas great as always and it was comfortable.
My only concern was the music was a bit loud.

I think it’s easy to forget that people like to chat and engage rather than yell over the music.

Overall it was fine however.

Thank you! Read more First time customer there , The process of secure on line reservation and a time was amazing.
the food was also very good and the server was amazing as well offer advise on drinks and certain dishes . Will be eating there again ..",https://resizer.otstatic.com/v2/photos/xlarge/2/27353601.webp
https://www.opentable.com/r/terroni-adelaide-toronto?corrid=5babd40a-f67a-48d8-9a99-a22e82d2c483&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Terroni Adelaide,6862,4.5,Italian,CAN$31 to CAN$50,4.5,4.5,4.5,4.2,"Terroni Adelaide, formerly the York County Courthouse, is a multi-level heritage structure built in 1852. Just inside the doors is the Enoteca with its towering columns, a great spot for cocktails. Beyond is the main dining room, with a sunlit atrium, fireplaces on each end and private rooms all serviced by an open kitchen where our chefs prepare traditional Italian fare. In summer, the secret garden patio opens for al fresco dining in the heart of the city.

Head down to the Cantina Wine Cellar where you will see the original courthouse cells now used to store our Italian wine. The second floor houses the grand Sala da Pranzo and Bar delle Carceri, named after the cells below. Il Covo degli Artisti, our third-floor space is a cosy lounge once home to The Arts and Letters Club where Canadian landscape painters “The Group of Seven” ate and drank in 1909.

For information about private parties and reservations for 16+ guests please visit terroni.com to connect with our events team.","Read more Pizza i always get was meh!  I had to ask for pepperincini peppers in oil.  Just a meh outing and no longer to rave about the pizza  Food was amazing. Everything was served fast and fresh. I found the tables were very close together and you can hear conversations from neighbouring tables. It was also hard to move around with chairs and tables so close.  Terroni serves delicious food and the service is consistently good, as is the ambience at this location. Every time we’ve been here we’ve had a great time. There are some very good vegan and gluten free options on the appetizer and mains menu, but it’s incredibly frustrating that the only vegan dessert option is still  two scoops of sorbet. Terroni - please broaden that dessert menu to include dairy free / plant based / gluten free options, as you do really well on everything else! Read more Food was very good. Service was excellent. Only recommendation would have been to have softer music playing- or Italian music would have been nice but other than that, lovely dining experience.  Excellent food and fun atmosphere. Very reasonable prices. Service matches the food.  Great food! Staff was friendly and efficient!! This place is massive so it can get pretty noisy but we had fun just listening to everything around us! Had some gluten free options that were just as good as the og- great spot!  This place does not have any normal pop offerings other than Coke and Gingerale. When we went to purchase it elsewhere so we could rink it with our meal they told us we needed to put it away or we had to leave because they would lose their liquor licence. They claimed they didn’t know what was in a brand new bottle of pop. Food was over priced and service was slow and inattentive. The man that was hosting was also incredibly rude. I will never step foot in another Terroni again. We left after the appetizer was served we didn’t even want a meal. Read more Our server was absolutely incredible and went above and beyond to make sure our experience was great.  The food was amazing and the server was very helpful with choosing cocktail suggestion and great wine pairing for our meals  Overall, an excellent experience however it was just so loud",https://resizer.otstatic.com/v2/photos/xlarge/3/69042100.webp
https://www.opentable.com/r/earls-kitchen-and-bar-yorkville-toronto?corrid=5babd40a-f67a-48d8-9a99-a22e82d2c483&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Earls Kitchen + Bar - Yorkville,546,4.5,American,CAN$31 to CAN$50,4.5,4.5,4.5,4.2,"Welcome to Earls Yorkville, our restaurant located in the heart of Yorkville, inside the Manulife Centre. Step in and enjoy our bright & beautiful solarium, perfect for soaking up the summer sun while enjoying a tasty meal. Located within walking distance of the Bay & Bloor subway station, our restaurant is the ultimate destination any day of the week. Join us and enjoy daily Happy Hour and enticing drink features that are sure to satisfy every taste. Whether you're seeking a relaxing evening with colleagues or a vibrant night out with friends, or a delicious dinner, our location offers the perfect blend of ambiance and convenience. Immerse yourself in the energy of Yorkville while enjoying our delectable cuisine and exceptional service. Your table is ready. We can't wait to see you!

Are you driving to us? Receive free parking when you spend $50+ at our location.","Read more 9 people for family dinner, all ages. We had a great time and food was excellent  Arrived on time for reservation. Seated and waited 5-6 mins for server. Had to ask for water and menus. Server was trying to help with specialized food order. Order taken and not actually submitted for over 10 mins. (Server came back with questions prior to sending in order). Appetizer took 20 mins to arrive and kitchen got the order wrong. Entreé was another 45 mins after finishing appetizer. Meal (chicken club sandwich) was flavourless, cold with mushy fries. With only 10 mins left to eat I asked for the bill to be brought right away as it had been 1 hour & 50 mins since arriving and we had to leave for a show. Bill took 10 mins to arrive.  Over priced for what we received. Server was friendly and polite. A man in a suit working there (manager/supervisor?) was often walking around with almost an angry look on his face. Didn’t look approachable to ask for help with service.  No discount offered for the delays. Read more The start of the evening was good, got our drinks and food within an hour of being there. After that it had a sharp decline. No one came to our table at all, for about an hour and a half after we got our entrees. No water top up, nothing. The entire dinner took 3 & 1/2 hours, which seems exceptionally long for a dinner.  This restaurant is one of my favorites. The food is amazing, and the service is prompt and attentive.  We were in Toronto few a few days.  I used this app. Looked at the menu and made a reservation. Food was excellent. But the server was amazing. Her name was Emma. I don’t often remember names. But she stood out like a star. Polite caring and wanting very much to please. We loved every moment we enjoyed ourselves. We live in Las Vegas, severs could learn a lesson. We loved Emma. Please thank her from us. Read more Food was pretty good. Gluten free crust was soggy and under cooked. Great looking food though, prompt service, but our waitress didn't know much. Said she didn't eat fish when asking about the sushi. And wasn't sure if there were nuts in a dish. Overall, pretty good if ordering off the happy hour menu (before 5)  The atmosphere was an elegant blend of modern chic and cozy warmth, with soft lighting that created an inviting yet sophisticated vibe. The decor, understated yet stylish, added to the overall charm—perfect for both intimate dinners and special celebrations.
The service, too, deserves a mention. The staff were attentive without being overbearing, offering insightful suggestions and ensuring that we were well taken care of throughout the evening. They created a welcoming environment that made the meal all the more enjoyable. Read more We went to celebrate my birthday but unfortunately the kitchen had an issue and the fire truck came. We had to evacuate the restaurant for safety reasons. Unfortunately we did not get our meals and could not drink our drinks. I am glad they put our safety first. The staff were wonderful and the drinks were tasty. I got to sip it as we left. Next time hopefully we will get our meal and get to enjoy. It’s a great place. ￼ Read more Great experience for an out of towner. I love the steak and lobster. My wife loved her dish. Thank you from Los Angeles to Toronto  Else has become my favourite place to take guess. The service is impeccable from the minute. I arrive. I’m sitting at my table waiting for a guest. Food always delicious the servers ambiance chatting, bringing food making suggestions. You probably get tired of hearing this from me, but It’s incredible and I’m so fortunate to be living in this building so that I can go downstairs anytime ￼ Read more",https://resizer.otstatic.com/v2/photos/xlarge/3/56977443.webp
