url,rest_name,number_of_reviews,rating,food_type,coupon,food,service,ambience,value,about_rest,comments,image_url
https://www.opentable.com/r/yen-cuisine-japonaise-montreal?corrid=8f77d9e9-0b89-4def-ad22-33720cc2111c&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,YEN Cuisine Japonaise,386,4.2,Japanese,CAN$31 to CAN$50,4.4,4.5,4.3,4.1,"YEN CUISINE JAPONAISE, A HIDDEN RESTAURANT IN HEART OF MONTREAL COMBINES TRADITIONAL JAPANESE CUISINE WITH CONTEMPORARY GASTRONOMY EXPERIENCE IN A COZY YET SOPHISTICATED AMBIANCE","This is quaint restaurant with good food however the servers kept chatting with each other loudly and the swinging saloon style doors were loudly banging the entire time. Agree with the customer who said they have a fruit fly problem that is true.  This restaurant is an absolute gem.  My husband and I sat in the window seat (very cozy).  The service was excellent and the food delicious.  Not so good experience. We coming from TO.
The table they gave us there’s lots of food flies, I’m talking about at least 10-20 keep flying around. Everyone immediately doesn’t want to eat there. Also there’s no ac as well. It’s very warm and stuffy inside. At the end we leave. It’s a Sat night and we need to google around and search what to eat with a group of 7 people. Luckily we found Ryu Japanese and it’s very good. Read more Fast service, staff is very attentif and makes sure the customers are ok, had a great time :)  Delicious food as always. The menu change is a bit confusing, but otherwise terrific service and great quality fish.  While the food was decent, not sure I would eat here again any time soon.

The quality and price match up decently well but there were a lot of flies and I constantly found myself having to swat em away while trying to enjoy my food.

Worth mentioning I appreciated the variety of menu options and presentation of food.

Overall not bad and will likely try it once more before adding to my ""Do not eat"" list. Read more Nice place to go with friends. Good variety of foods  We wanted a light supper before our concert, so ordered some maki to start and then a rice and a noodle dish to share, although everything arrived together.  The maki  - ebi chizu maki, a fried maki with shrimp tempura tartare - sounded wonderful but was actually quite greasy and bland.  The tofu and shiitake rice bowl - tofu shiitake don - was delicious, subtly flavoured and not too heavy.  The noodle dish - ebi tempura soba, or shrimp and vegetable tempura with noodles - was okay, but again rather bland, especially the noodles which had no sauce or flavouring at all.  A nice, well located spot but I’m not sure we’ll rush to return. Read more The edamame was not fully cooked and looked nothing like the picture in the menu. I found the sushi rice was cold and not flavorful. I expect more from a traditional sushi restaurant.  Amazing sushi. Many different rolls to try. Service was good",https://resizer.otstatic.com/v2/photos/xlarge/1/25954642.webp
https://www.opentable.com/r/kwizinn-vieux-port-montreal?corrid=8f77d9e9-0b89-4def-ad22-33720cc2111c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Kwizinn - Vieux Port,91,4.4,Caribbean,CAN$31 to CAN$50,4.5,4.5,4.6,4.2,"Montreal's unique modern Caribbean fusion restaurant with a carefully curated selection of all-natural wines and unique exotic cocktails, each crafted to perfection. While visiting us, you can immerse yourself in the sophisticated ambiance of Jazz Night on Thursdays from 6 to 9 p.m., enjoy the dynamic beats of local DJs every Friday and Saturday, and savour the culinary delights of our Sunday brunch from 11 a.m. to 3 p.m., followed by the vibrant energy of Cuban Night from 6 to 9 p.m. on Sundays.","Read more This was my second time at Kwizinn and they did not disappoint. The food was as excellent and the service impeccable. One of my best stops every time I visit Montreal.  Love love love this place! The atmosphere is great and has a live dj to set the mood! The waitress was very sweet and knowledgeable with the menu. The cocktails are so unique and well done! The food is incredibly delicious! We had the tasting menu which gave us many things to try. Came to star this as a favorite and saw some bad reviews which made me think did they eat at the same place?!  Highly recommend this place! Read more Super expérience culinaire avec une belle ambiance et un très beau décor. 
J’ai adoré mon expérience! C’est à refaire sans faute 😇  The incredibly beautiful establishment, the waitresses were very nice and attentive. For the first time, I tasted chocolate spicy cake and it was the most delicious dessert I tasted in Canada, it was not too sweet with a combination of different textures of cream and biscuit, the flavors were revealed gradually, and the spicy cake warmed the soul.  Perfect place to go on a date. Octopus carpaccio is delicious & the new cocktail menu is on point  Je suis une cliente régulière du resto. J’allais souvent sur la rue Wellington. C’est ma deuxième fois dans le vieux Montréal. Je dois dire que c’est la première fois que je ne donne pas 5 étoiles. La nourriture était comme d’habitude excellente mais elle nous a été servie avant nos cocktails et aussi on aurait dit que le restaurant voulait que nous mangions rapidement. Je m’ennuie un peu du restaurant plus simple et convivial de la rue Wellington. Je vais quand même retourner, j’adore la cuisine mais avec le prix du stationnement et le service un peu plus huppé, mois souvent qu’avant. Read more Fantastic experience! The service was spectacular and friendly. The food was  incredibly tasty - we had the griots (huge), the bao (yummy), plantain burger (other worldly) and riz djon djon (authentic). The music was lively and most patrons danced their way out the door! A wonderful experience.  Un excellent service, attentionné et bienveillant. Très sympathique. Certains plats sont bien préparés, savoureux et équilibrés. En revanche des fautes de goût majeures sur d’autres plats qui deviennent peu mangeables à l’image de ce carpaccio de bœuf qui trempe dans une soupe de citron ou ces beignes soit disant au coco mais qui ne goûtent que le sucre et qui sont très secs malgré la demande d’ajout de crème.  Quant à la musique, sans intérêt, mais heureusement pas trop bruyante et permettant de parler aisément. Read more Fun and delicious menu. Our party of 7 all enjoyed it very much!  Great experience. The plantain burger was one of the best burgers I’ve had in my life. The live jazz on Thursday’s is such a treat as well. Wait staff was great and attentive. Would definitely come back!",https://resizer.otstatic.com/v2/photos/xlarge/3/63531930.webp
https://www.opentable.com/r/brasserie-milton-delta-hotels-montreal?corrid=8f77d9e9-0b89-4def-ad22-33720cc2111c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Brasserie Milton - Delta Hotels Montreal,131,4.2,Quebec,CAN$30 and under,4.2,4.7,4.3,4.0,"Through a local and seasonal menu where quality is a priority, Chef, Ron Kneabone, will convey his passion for Quebec and for the art of good food. Guests will indulge in typical Quebec dishes as well as original recipes.

Established at Delta Hotels by Marriott Montreal, Brasserie Milton is the ideal place to enjoy drinks or a good meal in a warm and relaxed atmosphere. Whether for lunch or dinner, for a light snack or for a drink at the counter of our bar, our menu will satisfy all desires and appetites.","Read more We came in between meal service. Our waiter was excellent at explaining the menu - both meals and the drink options( including non-alcoholic ones).

Food portions were generous and requests to have items on the side or removed were respected. Burger was delicious and fries were crisp.The non alcoholic drinks (cool dragon) were refreshing and pretty on a very warm fall day.

Service was excellent. Read more It seems like only one waiter was working.  Took a while for everything to come to the table.  Had to wait for condiments which came out after we finished the meal.  No check in during the meal.  Empty dishes were not cleared up during the meal.  Mix up of the bill. Food was good - soup portion could have been a bit larger.  Staff were pleasant. Food was ok. Too much pepper on the veal special no one was able to eat that dish. Place seemed cleaned however mice were seen on the floor of the dinning room. Would not return.  Nice setting and super friendly service. Food was just as expected from a hotel restaurant, not outstanding but also not disappointing. Perfect for a rainy night when you don’t feel like venturing out for dinner.  We went for the weekend brunch for a family event. Our server, David, was super friendly and attentive. Lots of choice. The omelet chef, Siena , was superb. The omelets were perfectly cooked and a wide variety of fillings were offered. Tables very perfectly spaced, which provided privacy, making it less noisy than other restaurants.  Amazing service, it has been a while since my wife and I had such a good service at a restaurant.  L'hôtel est vieux ainsi que le resto. Les tapis ont l’air dégueulasses. Je croyais que c’était un nouveau restaurant! Vraiment, passez votre tour!  Food was ok steak was under cooked amd the portions were small for the price also service was not great the restaurant wasn't even full. Also it was really loud amd small children making a lot of noise at the next table. For the price I was expecting a nice romantic evening for my girlfriends birthday instead I had loud kids amd obnoxious tourists  Salmon dish was changed from the last time I visited. At that time, the dish was exquisite. This time the salmon was smothered in a tasteless sauce surrounded by a few puff potatoes. The salmon was tasteless and reminiscent of Captain Highliner from the frozen food section. Brasserie Milton can do better.  Pas mauvais, manque un peu de finesse au prix des assiettes. Les pates aux fruits de mer étaient excellentes, le steak était correcte, simplement servi avec frites du commerce, j'aurais apprécié un 2e accompagnement et la cuisson adéquate. Sommes toutes, avons apprécié notre souper, mais pas assez pour dire que j'y retournerais.",https://resizer.otstatic.com/v2/photos/xlarge/3/43539533.webp
https://www.opentable.com/r/iberica-montreal?corrid=8f77d9e9-0b89-4def-ad22-33720cc2111c&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Ibérica,1613,4.7,Tapas / Small Plates,CAN$51 and over,4.7,4.7,4.7,4.4,"Located at the heart of downtown Montreal, our restaurant reflects Barcelona's social and cultural life in a striking setting.","Phenomenal experience! The vibe, the food, the service - so many wonderful things about Ibérica. We’ll definitely be back!  Excellent food. Loved the octopus tapas and the seafood paella; both dishes are great for sharing.  Service was perfect, the food was incredibe, I definitely recommend this place  The price was good for the value but my expectation were higher.  Excellent location, service and food. Best tapas we have had in many years.  Great food and ambience. A little expensive but will be back  Lively atmosphere.  Beautiful restaurant, high ceilings, beautiful millwork.  Server was very knowledgeable and helpful with wine and food recommendations..  The sardines were delicious and refreshing.  Oysters were the meatiest we have ever had.  I had planned on trying the grilled octopus in advance and it did not disappoint.  My husband has the lamb chops and I had paella.  Both were satisfying and full of flavour.  Would definitely return. Read more I briught 2 new friends with me. They had the black paella rice and the regular paella. They loved it.  Always a joy to be there. I had my fish, jumbo shrimp and scallops dish with calamari. Excellent as usual. And my potato appetizer which i love.  Great menu, good selection of wines, lovely service.  I always use this place with special guest because we love the food and services.",https://resizer.otstatic.com/v2/photos/xlarge/1/25325120.webp
https://www.opentable.com/r/atelier-marjorie-montreal?corrid=8f77d9e9-0b89-4def-ad22-33720cc2111c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Atelier Marjorie,144,4.4,Quebec,CAN$31 to CAN$50,4.6,4.6,4.5,4.4,"Whether you're looking for a quick afternoon snack or a leisurely tea time experience, Atelier Marjorie is the perfect destination. With friendly and attentive staff, a cozy ambiance, and a menu that's sure to delight, it's no wonder that this bakery has become a beloved local favorite. Come and indulge in a little nostalgia with a tea time that will transport you back to the magical days of childhood.","We loved our time 
It such a cute & enchanting atmosphere. 
Perfect to spoil a loved one on a special occasion.  A very delightful experience, love the communication and grateful for the plenty alternatives!  Amazing service and all my friends and I had an amazing time !!  Le magasin est joliment décoré, et les gâteaux (bentos) étaient très bons - mais j’étais un peu déçue par l’expérience. Ils n’avaient plus de gâteaux au chocolat, plus de thé au Jasmin, et pas de sucre rouge pour décorer les bentos. Je pense qu’il serait bon de pouvoir sélectionner son gâteau au préalable pour ne pas être déçu par ce qui est disponible en stock…
Des explications ou juste un peu plus de disponibilité des serveuses auraient été appréciés pour le processus de décoration des bentos.  
Gros bémol à mon avis pour les boîtes à bento: elles sont trop petites, clairement cheap, et finissent par abîmer les rebords du gâteau. Read more Amusant et charmant comme endroit mais très dispendieux comparer à d’autres endroits similaires. Très petit aussi. C’était bien à faire une fois pour le prix  Great experience with delicious desserts in a pink, girly setting!  J’ai adoré mon expérience chez Atelier Marjorie. 
Nous étions un groupe de 10, et le service était très rapide. Notre serveur était très bon, il décrivais super bien le menu et il communiquait bien avec nous pour l’organisation de la journée.  10/10 je recommande!!  I really enjoyed the experience and the cake was really good as well!  Nous avons adoré. Dans les meilleures pâtisseries que nous avons manger. Les thes étaient également excellent nous reviendrons certainement. J’ai mis 4/5 pour le service seulement parce que la personne était seule et débordée donc il pouvait y avoir de l’attente . Toutefois le service en soi était exceptionnel.  Merci pour ce bel après-midi !  I did the bento box decoration which was fun! The cakes were really moist and nice and the frosting was good. I do wish that when first given the cake, it would be given on a plate or a takeout box that can be collapsed so it's easier to decorate (it made decorating hard with the cake already in the takeout container). I do also wish that maybe there were some piping tips available to make some nice designs on the cake. Besides that, it was a fun activity :) Read more",https://resizer.otstatic.com/v2/photos/xlarge/2/52282263.webp
https://www.opentable.com/r/henri-montreal?corrid=8f77d9e9-0b89-4def-ad22-33720cc2111c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Henri Brasserie Française,1738,4.4,French,CAN$31 to CAN$50,4.4,4.5,4.6,4.1,"Henri Brasserie Française is a grand restaurant, the likes of which only appear once in a decade. Set in the landmark Birks Building located in the heart of downtown Montreal and connected to the new Hotel Birks Montreal 5-star Hotel, Henri presents a cuisine of today, inspired by the timeless traditions of the grand French brasseries. Our gourmet and comforting dishes created by our chef showcase the finest Canadian and Quebec seasonal products from coast to coast. You will be charmed by the enchanting atmosphere of this spacious and bright Montreal dining room with its 19th century French décor and by its spectacular terrace. The men and women who enliven our dining room and our kitchen combine decades of experience gained in some of the best restaurants in the world.","Read more I have been going to Henri Brasserie Française for quite some time now, and it has always been a warm and chic spot. Last night, however, I found myself on a date that was not going well. Despite the awkwardness of the situation, the staff were incredibly kind and understanding. From the receptionist to the server and even the bartender, everyone showed such compassion and attentiveness.

The servers subtly noticed how things were going and, without being asked, helped bring the evening to a graceful close by bringing the bill early. It was a small but immensely thoughtful gesture that truly made a difference. Their professionalism and humanity shone through, showing the kind of attention you expect from excellent hospitality.

As always, the food was fantastic. My favorite dish is the “la cuisse de canard,” which never disappoints. The cocktails are equally delightful, and the ambiance is just beautiful. Whether you’re stopping by for a quiet, delicious dinner or grabbing a drink at the bar before a night out, this place is perfect.

I can’t thank the team enough for turning what could have been a terrible night into a much brighter one with their genuine kindness. It wasn’t necessarily part of their job, but their comforting presence left me smiling. I highly recommend Henri Brasserie Française for the incredible food, drinks, and truly amazing service. Read more Très bonne expérience dans un cadre magnifique, la serveuse, le maître d'hôtel mais tout la brigade de service de manière générale étaient très accueillants. Les plats sont excellents également, bref une très bonne expérience.  The venue carries you back to France. The ambience is lively but not disturbingly so. Service is excellent and the beverages and food are superb.  Beautiful venue, expensive wine list, friendly service  While staying at the Hotel Birks we had the pleasure to eat at Henri.  The service was excellent. The food was delicious the people watching was entertaining. It’s a lively place to enjoy  This was an anniversary dinner for my wife and I. The food was fantastic and the service was excellent!  We highly recommend  En général nous avons eu une très bonne expérience pour souligner un anniversaire très spécial. Le service était impéccable, très bonne ambiance, très bon service de valet pour stationnement très pratique pour cet endroit. Les seuls point négatifs était coté nourriture, notre choix  était la suggestion du jour qui était composé d'un potage qui était délicieux mais un peu tiède et pour plat principale un lapin à la moutarde tout aussi délicieux mais qui aurait été mieux plus à point. Les plats aurait été mieux plus chauds. Je recommande ce restaurant qu’en même car nous avons eu une belle soirée. Read more Menu simple pour le brunch mais bien réussi. Tout le monde a bien mangé. Bon service. Chic et de bon goût. Très bel environnement. Plafond haut donc aéré et pas bruyant.  Magnifique expérience comme d’habitude! Le service était incroyable et la nourriture aussi. Belle petite attention pour notre anniversaire. Merci, nous allons revenir c’est sur!  Beautiful room and attentive friendly service. Unfortunately by the time the food arrived at our table it was cold. The staff promptly put in new orders. When they arrived they were a bit warmer but really not as hot as they should have been. Makes one wonder how far the kitchen is from the dining room. They did give us a complimentary dish to make up for it. Has the potential to be a great restaurant. Just need to ensure food arrives at tables hot! Read more",https://resizer.otstatic.com/v2/photos/xlarge/1/25912629.webp
https://www.opentable.com/r/ferreira-cafe?corrid=8f77d9e9-0b89-4def-ad22-33720cc2111c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Ferreira Café,1146,4.7,Portuguese,CAN$51 and over,4.8,4.7,4.7,4.4,"Suppose Ferreira Café has quickly established itself as one of the best restaurants in town. In that case, there is no mystery: a visionary owner, an inspired chef, high-quality products, and a talented and dedicated team. In Montreal, Ferreira Café gives Portuguese cuisine all its nobility.

Ferreira is an unforgettable experience that promotes discovery, sharing, and conviviality in a warm atmosphere. This is today's Portugal, in downtown Montreal. And we come back to it again and again.

- Established in 1996 -","Read more Special shout out to Caroline. Always a pleasure to host business lunches at Ferreira!  Nourriture d’une excellente quantité.Bruyant très bruyant.Ça rend la discussion difficile et par moment presque impossible  First time dining at the Ferreira Cafe. We tried out this restaurant as someone recommended for date night. Nice ambience. We tried out the ceviche, not very flavorful at all. Would not recommend. The cocktails were good and the main meal was delicious. We had two different waiters during our meal which was strange. They did not take time to explain the menu. Especially with the available variety of fish choices. With the great options that are available around Montreal for dinning, you would want to stand out as this is your specialty. I think this is a miss. Would not recommend unless you already have great knowledge of fish. Read more Thank you to Sandra & her wonderful team for making our first visit fantastic. Great food and ambience! Will definitely be back!  Wood grilled Mediterranean Sea Bass was phenomenal  This was a lovely experience. We arrived early and were fortunate to have the table nearest the front window. Beautiful! Our server, Katherine, couldn’t have been more pleasant.￼
We ordered the fresh tomato salad and seafood, rice and fillet of tuna.  Outstanding!
Authentic Portuguese with beautiful dishes. Wonderful wine and Port! What more could you ask for? Read more The experience is vey good. We made a reservation and arrive on time, the order process was smooth and not wait for long time. The food is delicious. Only one point that I asked one gentleman for bread, not happened and I asked a lady which was not served too, and then I asked another gentleman. It’s paid menu and I don’t know why it should ask more than 3 times. An elder gentleman provided additional fry to my boy which was nice. Overall it’s very good. Read more You can’t really go wrong with Ferreira Cafe.
The quality of the fish is amazing
The attention to details
The knowledge of the staff
Everything was great Read more J’ai adoré mon expérience, la nourriture et le service étaient impeccables. Nous étions de passage avec mon conjoint pour notre anniversaire de mariage et ils nous l’ont souhaité a plusieurs reprises. Très belle soirée!  our experience was top tier. The service was fantastic. Anya ,our waitress was knowledgeable and attentive. The staff assisting Anya were equally attentive. The food was amazing from appetizer to dessert. We really enjoyed this restaurant and will definitely be back when we travel back to Montréal.",https://resizer.otstatic.com/v2/photos/xlarge/3/50878855.webp
https://www.opentable.com/r/palma-montreal?corrid=8f77d9e9-0b89-4def-ad22-33720cc2111c&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Palma,281,4.6,Contemporary American,CAN$51 and over,4.6,4.5,4.6,4.1,"Nestled in the heart of Griffintown, Palma offers a unique dining experience that blends exceptional culinary artistry with a warm, inviting atmosphere. Our menu features a carefully curated selection of dishes that highlight fresh ingredients and bold flavors, reflecting to both quality and sustainability.

At Palma, we pride ourselves on providing a memorable dining experience with a focus on personalized service and a welcoming ambiance. Whether you're joining us for a casual meal with friends or a special occasion, our attentive staff and elegant setting make every visit exceptional.

Discover the charm and sophistication of Palma, where every meal is crafted with passion !","Read more Beautiful space, great service, food was delicious. The tuna tart was different and impressive. The black cod was amazing, but it’d be nice if it came with … something? The salmon was not as good as the cod but still excellent! And the vegetable sides were cooked great.
While the service really was good, I’m not a fan of the tip choices on the machine starting at 20% and going up. Most places increased the default from 15 to 18%, I think that’s where it should start. All-in-all, very good experience. Read more Très belle expérience. Restaurant vraiment beau.  Personnel très sympathique.  Super service,  très bonne bouffe, bonne ambiance,  agents de sécurité courtois , barmaids sympathiques et souriantes  Excellent food, service and ambiance. It was a really fun date night. Highly recommend this place.  Great experience!!  Would do again!  Service was great!  Nice setup the restaurant very classy food is great and service impeccable , food was good  Service was very good,  very nice ambience, clientèle is classy 

Best oysters I've ever had!

Prices vary,  streaks are up there,  had the 35oz porterhouse $165.00.

Classe Azul on the rocks $60.00

But if you stick to a regular cocktail they are around $20.00 which is reasonable. 

Was a nice evening out with friends and would definetly do back Read more L'ambiance, la vibe, le service WOW, pour la nourriture, c'est super d'avoir un menu spécial les mercredis!. Par contre le menu régulier les prix sont assez élevés! La nourriture est bonne mais un peu trop sucrée à mon goût. C'est un beau show de voir servir les Sushi avec la glace sèche! C'est cool!  Cannot wait to go back! The black cod was out of this world!  I love this restaurant for the food, incredible staff, ambiance is outstanding. Great place for all Instagramers. I recommend for night out with friends. I do not recommend if you’re on a date with someone. Music too loud and it’s almost impossible to hear the other person, we were packed like sardines which the people from the table beside our kept rubbing their behinds to get back to their seat. It was very uncomfortable. We had to leave because of all of that. Read more",https://resizer.otstatic.com/v2/photos/xlarge/2/49894314.webp
https://www.opentable.com/r/terrasse-william-gray-montreal?corrid=8f77d9e9-0b89-4def-ad22-33720cc2111c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Terrasse William Gray,1326,4.5,American,CAN$31 to CAN$50,4.3,4.6,4.6,4.2,"***A Summer Terrace above it all***
As soon as you step outside, you’ll be treated to a breathtaking view of Place Jacques-Cartier, the St. Lawrence River and the glittering Montreal Ferris Wheel. Celebrate the season with an unparalleled dining experience in Old Montreal. The Terrasse du William Gray offers a chic, warm and unique atmosphere.","Skip the drinks. We ordered a margarita and a mocktail, both tasted synthetic. The coke was also strange tasting.

The onion soup was good, but the salmon was a miss.  Just a piece of moderately well seared salmon with butternut squash puree and yellow sauce. The burger was standard. Read more Nous remercions grandement Mauricio qui a rendu notre soirée encore plus incroyable. Nous sommes venus pour nos anniversaires, les petites attentions étaient au rendez vous!

Nous recommandons la terrasse William Gray, les plats sont succulents, et la vue imprenable 😍 Read more Chaque fois j’ai été épatée par le service. Je suis venue pour la première fois il y a 7 ans et je suis toujours aussi bien servie. La vue est spectaculaire. Malgré le temps  frisquet d’octobre,  il y a un bon confort avec des chauffes terrasses. Mon cocktail était délicieux et magnifique. En ces temps où tout coûte cher je recherche : la qualité des plats et cocktails, l’ambiance et surtout le service discret et efficace. J’entends que cet hiver il y aura de jolies bulles extérieures pour manger sur la terrasse. Read more This cafe is overpriced and over hyped.  Yes, it has a nice rooftop terrace for a summer meal but the food is expensive and mediocre.  The wait staff is attentive and friendly.  If the last days of the season are cold,  it can be unpleasant even with the heaters in operation.  Perhaps you pay for the view which is outstanding, especially at dusk.  It also is part of an upscale hotel in Old Montreal so perhaps the prices are not unusual for the area. Read more Steaks are not delicious. Pasta and burger were great. View was great and mostly they are nice.
Great to visit for special occasions to have food with nice view.  I had brunch today with my son & his girlfriend. Since today was her birthday, they wrote Happy Birthday in strawberry coulis on her plate & added a sparkler...very cool! The food was delicious. I would definitely eat here again.  Great view and perfect food. Amazing ambient with view of the ferris wheel.  We dined outside on the terrace twice

Mauricio was great

We will return Read more Great place and atmosphere for the beautiful view of Montreal  La prise de commande a été longue. Les serveurs passaient devant nous sans nous voir, nous avions l’impression d’être invisibles. Il a fallu que l’on arrête une serveuse qui passait juste devant nous pour qu’elle nous envoie notre serveur. La terrasse n’était pas pleine mais nous étions à côté du bar avec la musique extrêmement forte…
En revanche, nos plats ont été servis rapidement et étaient très bons. Read more",https://resizer.otstatic.com/v2/photos/xlarge/3/65029909.webp
https://www.opentable.com/r/le-pois-penche-montreal?corrid=8f77d9e9-0b89-4def-ad22-33720cc2111c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Le Pois Penché,2200,4.7,French,CAN$31 to CAN$50,4.7,4.6,4.6,4.4,"Welcome to downtown's favourite Parisian-style brasserie. We serve French comfort food classics with Montreal accents: seafood platters, steak frites, onion soup, duck confit, brunch and more. Our dining room and summer terrace are a social hub where local regulars and travellers from all over the world converge. Eat and drink among friends, new and old.","We had the grilled bass from the Mediterranean & it was fantastic.  Great food, service and ambiance.  Highly recommend.  Authentic French cuisine, ambiance, and service. Great lunch experience: I went back that evening for more.  Ce restaurant mérite d'être apprécié à toute heure du jour. Cette fois-ci c'était le midi. Ai choisi la table d'hôte du midi et un verre de vin apparié. Plats chauds et portions appropriées, voire généreuses, pour le lunch. Présentation équilibrée et haute qualité. Pas de pression pour commander. Bonne cadence de service attentionné, discret et professionnel. Musique d'ambiance un tantinet trop rythmée à mon goût, mais c'est sans importance. Chaises confortables et bonne position dans la salle. Read more Very good food, very good service! Everything was good from beginning to end.  Loved it!!!! Yummie food and great hospitality. Came back the other day😀  Très bien situé pour nous, Le Pois Penché est un charmant restaurant offrant une cuisine de grande qualité, accompagnée d'une belle carte des vins. Nous avons particulièrement apprécié l'ambiance chaleureuse et conviviale. Ce restaurant se compare avantageusement à plusieurs établissements que nous avons découverts et aimés lors de nos voyages. Nous y retournerons sans aucun doute. Read more Each time we return, we are not disappointed! The ambiance and excellent food make this a spot we keep coming back to for a memorable experience.  Wonderful evening and meal.  Our server was Andrew.    Very friendly and knowledgeable.   I was completely at ease with handing him the reins on our evening.  His dinner suggestion and desert/liquor pairing just made the entire dining experience fabulous!  I could not imagine a better first night in this new city.  Awesome foods and staff, great hospitality. My wife and 3kids enjoyed that great time. We really loved mussels.  Wonderful dinner made all the more enjoyable by the outstanding service and the added benefit of live entertainment.  Highly recommend.",https://resizer.otstatic.com/v2/photos/xlarge/3/62191568.webp
