url,rest_name,number_of_reviews,rating,food_type,coupon,food,service,ambience,value,about_rest,comments,image_url
https://www.opentable.com/r/birdies-eats-and-drinks-burnaby?corrid=d0de4250-fe7a-4dd8-85bc-f8030eea020e&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Birdies Eats + Drinks - Burnaby,654,4.5,American,CAN$31 to CAN$50,4.4,4.4,4.5,4.1,"Birdies Eats & Drinks is a California-inspired restaurant concept. We’re all about leisurely dinners, celebratory happy hours, boozy brunches, and gatherings of all sizes. Described as casually elevated, you can expect fresh, addictive food that fills you up, vibrant cocktails, and all the good vibes.

Known for irresistible and unique flavours, our menu features infamous tacos, indulgent entrees, handcrafted pizzas, and craveable appetizers. Our cocktail menu boasts an extensive selection of ingredient-driven drinks that make life more fun.

Located in the heart of Burnaby, easily accessible from East & North Vancouver, Birdies Eats & Drinks is the perfect place to host your next event, or cozy up for an intimate date night. Our award-winning space is trendy and sophisticated, vibey yet relaxed. Our epic patio is not-to-be-missed. Plus, we offer free parking. See you soon!","Read more Cozy and warm
Great food and friendly service - top notch  Great service, friendly staff. Food is great. Love that they have Vegan options!  Brunch was fantastic. Everything fresh and tasty. And the service was excellent, particularly Emma, who displayed the perfect level of attentiveness.  This was my first time trying the restaurant with a friend. We had the fish tacos and the scallops, which were perfect. Our server was very friendly and checked in with us frequently to make sure everything was fine. However, we noticed that she seemed to be rushing us towards the end. While my friend was still eating her food, the server asked a couple of times if she was done, even in the middle of our conversation she would interrupted us  . obvious my friend was still eating, but she felt rushed and eventually asked the server to take the plate and bring the bill. I found this behavior rude and unprofessional . When I asked her if it’s the end of her shift she said yes , she will be done after this. Read more Great food and exceptional service. Our server - Angel was great.  The food and atmosphere at Birdies is great!  Service is top notch!  They really care about the quality of food they serve. My cousin ordered the prosciutto arugula pizza.  It was a little burned on one side.  It wasn’t that bad, but they brought it out so my cousin could eat the side that wasn’t burned while they made her another one.  She said it was delicious. I had the poke bowl which was also good. When it came  time for the bill, they told us they didn’t charge for the pizza.  Wow!  Talk about good customer service!  We were celebrating my cousin’s birthday.  Birdies had a birthday card for her and brought out a piece of delicious tiramisu for us to share.  We will definitely be back! Read more The food, service, ambience, everything is good. It’s just my brunch Hippie’s Hash, portion is a bit small. I’m not a big eater. A bit more salad under the poached eggs could fill stomach better. Thank you.  Always a good time! Great energy, great pizza! Ari was fantastic, she was very concise and courteous. Five stars! ￼  We had the best time at Birdies!!! It was the perfect place to celebrate my birthday. The card from the staff was so sweet as well and the cake was delicious!! Our server Amy was the BEST server any of us had had in a long time at any restaurant. The food was delicious as well! We will definitely be back again 😊  The service was exceptional. However, the food quality is not there yet, medium rare steak was ordered but it was overcooked and not hot when it came to the table. In addition, a brown curly hair was found in the calamari dish mixed into the sauce, almost ate it.",https://resizer.otstatic.com/v2/photos/xlarge/3/53595162.webp
https://www.opentable.com/r/hariyali-express-indian-cuisine-and-bar-vancouver?corrid=d0de4250-fe7a-4dd8-85bc-f8030eea020e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Hariyali Express Indian Cuisine & Bar,12,4.5,Indian,CAN$30 and under,4.7,4.4,4.3,4.5,"Sleek restaurant offering Indian fare, including vegetarian options, plus a bar.
Specializing in healthy, fresh & sustainable Indian food practices. Modern interior, a peaceful atmosphere to dine and relax.","Authentic and impressive Indian Food 5/5. Excellent  Tasty Indian food on the Drive. No matter what dish, food here tastes excellent.  Good was fantastic. The service was wonderful and friendly. Our server took the time to explain the dishes we wanted to try. The restaurant was clean and nicely decorated. It was a wonderful dining experience.  Very deliciously made food as always. This is our go-to for Indian food on the Drive.  Tasty food, interesting music playlist, good value  Excellent food (we had the chikken tikka, lamb curry, coconut chicken, panek paneer and aloo goobi).  Their naan is amazing and flavourful chai hit the spot after dinner. Staff were all very nice people.  The food was excellent, complex flavors, fresh ingredients, spice-level was as requested. The restaurant was in a fairly nondescript building and the decor was humble so we were expecting to have a perfectly acceptable but not exciting meal, we were very pleasantly surprised. It was a great meal! I won't say ""for the price"" because that implies it was not as good as food we might have paid much more for. The truth is it was as good or better as many high-end, high price Indian restaurants I have been to over the years. Read more Dishes here are tasty and delicious. Hidden gem on the Drive.  Small issues. The mesi roti to be thinner and not so much chickpea flour. They were very doughy. Chicken hadn't absorbed any of the sauce.  We were obviously not wanted to dine there as we were ignored the entire time we were there aside from 1 minute of service we recieved. We were not checked up on when the food was dropped on our table or asked if we wanted water, more to drink or anything else. There were 4 tables and 2 servers but the other tables seemed to get service while we sat there. Horrible experience. Don’t bother or waste your time here. They don’t care about you, just about the money. Sad because the food was decent Read more",https://resizer.otstatic.com/v2/photos/xlarge/3/48145925.webp
https://www.opentable.com/r/havana-vancouver?corrid=d0de4250-fe7a-4dd8-85bc-f8030eea020e&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Havana,685,4.4,Latin American,CAN$30 and under,4.3,4.5,4.4,4.2,"Patio is seated on first come first serve basis.

Havana Vancouver is inspired by the colours and culture of Old Havana, Cuba.

Guests can expect a hybrid of authentic Latin flavours combined with Pacific Northwest style and a commitment to fresh, local ingredients. Craft beers and an innovative cocktail program create a menu unique to the location.","Good healthy food. Lots of choice. Excellent service. Too noisy inside but on a nice day the location on the drive is the coolest place in Vancouver.  I had made a late reservation for lunch with 2 elders who were about 40 minutes late - and the staff were very welcoming and relaxed about all that. We had a lovely lunch & a good visit and I was grateful because, in their 80s - it is a big deal for them to venture out  - to drive and to park and etc etc. 
The gracious welcome and understanding and the thoughtful service was much appreciated all around. 
I hadn't been to havana for a long time because it is often busy and so I also appreciated having enough quiet to have a conversation without shouting...
Happy to share this good experience and send thanks once again to staff for thoughtful and generous work in that space. Read more Food was not great, super disappointed as it was our 24th anniversary  too.  We ordered paella and out of clams but didn't add extra seafood to replace.  Service was bad, our server barely came by to check on us.  I had a wonderful time at Havana, it was a special occasion a d we booked in advance, the service was excellent and we had the seared tuna as a starter with a salad,  very tasty 
Then we shared a main course. I always have a good experience at Havana, would recommend this lively place on the Drive  The drinks are the best at Havana! Liam is an incredible manager as well!  He helped move us to a beautiful spot on the patio and he is fantastic with engaging with guests. Great experience!!  Great Food. Wonderful service. Lovely location. Music was a bit loud so that could be lowered a bit.  I love Havana and I go there almost exclusively for the Mussels Espana. On my last visit, they were sub-par. The tasted strong and there was very little chorizo in the dish. The portion size was also smaller. I’m used to them being crazy good with every mouthful and it was so disappointing. I hope it was just an off day.  Good spot to share plates with friends while having a bevy or two.

Service and food was pretty good for casual get togethers.  Nice ambiance,a bit noisy but manageable.
Great food and good service!
Avocado tostones were so good!
Commercial Club was delicious! Read more The food and drink here is amazing! Service is top notch as well.",https://resizer.otstatic.com/v2/photos/xlarge/3/43451476.webp
https://www.opentable.com/r/miku-restaurant-vancouver?corrid=d0de4250-fe7a-4dd8-85bc-f8030eea020e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Miku Restaurant - Vancouver,6395,4.8,Japanese,CAN$31 to CAN$50,4.8,4.8,4.6,4.4,"Specializing in aburi, or flamed-seared, sushi, the act of applying flame directly and lightly searing sushi enhances the natural flavours and textures of the seafood. Miku owner, Seigo Nakamura, innovated the Aburi concept by crafting specialty sauces using non-traditional Japanese ingredients to pair with each type of fish.

Located at the corner of Howe Street and Canada Place Way

Michelin Recommended
Winner of Georgia Straight's Golden Plate for Best Japanese Restaurant in Vancouver
TimeOut's 20 best restaurants in Vancouver to eat in 2022
OpenTable's 22 Restaurants That Define Vancouver Dining 2022


Executive Chef: Kazuhiro Hayashi","Read more Food was so different and every bite was amazing.  2 favorites were the lobster ceviche and the salmon (sushi).   Service terrific. It’s pretty noisy and sometimes hard to talk but I’d go back in a heartbeat  Excellent as always, but sad that they took the tart off the menu!  The atmosphere and the music and the team and the great service was amazing and unlike any restaurants 👏👏👏👏 and the young gentleman who is named  Tesshin was wonderful and very classy bartender and employee 👌👌👌 and the food and the desert was amazing, 🤩 such a great experience after all  The ebi fritters shrimp appetizer was delicious! The miso soup was very flavorful, but I wish it had been hotter. The Surf and turf and red wave rolls were our favorites. The first two rolls/sushi dishes were ordered were good but not outstanding. Surf & turf and Red wave rolls were!  Server was awesome
Host unfriendly at all
Entre was tasty
Sushi was the worst tasting sushi i ever had Read more We recently dined at Miku Restaurant with a large group, and it was a fantastic experience for everyone. The menu offers a wide variety of options, and each person in our group found something they enjoyed, no matter their preferences. The quality of the food was excellent, and every meal was beautifully presented and delicious.

The service was attentive and professional, making our group feel welcome and well taken care of throughout the evening. If you're looking for a restaurant in Vancouver that can cater to a diverse group and provide exceptional food, Miku is a great choice! Read more Outstanding food, we loved everything on the Kaiseki set menu (6 item menu). Every dish had a delicious blend of flavors, all the food was presented beautifully and we really enjoyed the timing of the meal. The sake pairing was really wonderful as well. It was a splurge but definitely one of the top two meals we have had this year!  Top tier experience, view, food and service! Wonderful Thanksgiving dinner with family.  Food is extremely delicious. Best Aburi Sushi I have ever had. Sushi rice was cooked to perfection. A bit pricey but worth it. I will definitely go back  Delicious and innovative dining experience with great water views",https://resizer.otstatic.com/v2/photos/xlarge/3/57896450.webp
https://www.opentable.com/r/oddfish-restaurant-vancouver?corrid=d0de4250-fe7a-4dd8-85bc-f8030eea020e&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Oddfish Restaurant,1070,4.9,Seafood,CAN$31 to CAN$50,4.9,4.9,4.8,4.5,Oddfish is a Seafood and Vegetable focused restaurant. Ethically sourced and high quality ingredients are what you will find here with the focus being on the food - not the fuss. In regard to the wine list - approachable and interesting with a great price point is our goal. The atmosphere is casual and fun. We are a neighbourhood restaurant that others from outside the neighbourhood come to for that welcoming atmosphere. We are the same people who created Nook and Tavola restaurants.,"Read more It is first time being in this restaurant. Love the food they make and the way they make food. Really delicious!  Absolutely incredible, as always, every time I go to this restaurant, I have the best service, the best food, and their drinks are creative and always fun.  Went for my moms 60th, staff was amazing, great service and recommendations. Every dish was delicious, will definitely be back! Expensive, but worth it!!  Outstanding. From the first hello until we left.
We were seated on the heated patio which was wonderful but the noise level was a bit much…. almost too much to enjoy with our friends.  Ceviche and diavolo were amazing. Staff are all superb as well, great bartender!  Oddfish never disappoints. It was beyond fantastic  Always a great time at Oddfish.  Everything we had was treated with love and care…and when it comes to fish dishes this is critical.  Loved the ceviche, and the thai squid salad is a revelation.

Always over delivers! Read more We had a wonderful evening celebrating our daughters birthday.  Oddfish made it extra special  Our server, Aaron, was a star! He explained the menu, patiently answered all of our questions, and watched as I pressured myself into a bottle of wine. The food was exceptional - get the branzino! I will definitely be back soon.  The service was good and the prices were reasonable.",https://resizer.otstatic.com/v2/photos/xlarge/3/60275489.webp
https://www.opentable.com/r/pax-romana-vancouver?corrid=d0de4250-fe7a-4dd8-85bc-f8030eea020e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Pax Romana,27,4.4,Mediterranean,CAN$31 to CAN$50,4.2,4.8,4.4,4.0,"Pax Romana brings the quintessential European hang-out straight to Commercial Drive, the perfect place for a drink and a bite to eat. An ode to the Golden Age of Rome, the menu delivers an assortment of Mediterranean tapas, wines, and bespoke cocktails.","Just a fantastic little place. Get the chef's selection and prepare to be impressed. Can't wait to return.  Food was just okay. There were certain flavour combos I didn’t enjoy. This is more fusion - nice ambiance and great service but I won’t go back.  Really good food, service was great. Price is not crazy at all.  Ambience and service was great but cocktails and food weren’t so memorable and a bit over priced. There were limited items on the menu and some weren’t even available then.  Hurry and go before you can’t get a table. Best meal we’ve had on Commercial Drive in ages. Tables aren’t crowded. A quiet, funky vibe. Cool music. And wonderful food. Chef explained all the dishes and they were delicious. A wonderful menu for sharing.  This place is a very cute little find on the drive! Would def go back to try more food and drinks :)  Delicious food. Great wine list and fun cocktails. And the service is always lovely. Such a great addition to commercial drive!!  Had a fantastic experience at Pax Romana! The cozy atmosphere and friendly staff made the experience even better. Can’t wait to come back!  Very poor quality food. Charcuterie board was awful with unpleasant cheeses. Baba ganoush was pleasant but the summer vegetables and patatas bravas left an unpleasant flavor/ aftertaste. The serving staff was pleasant and attentive  Enjoyed our wines, beers with atum and gamba. Very nice, warm and cozy environment and our waiter was very attentive and  very friendly. We come again.",https://resizer.otstatic.com/v2/photos/xlarge/2/57930552.webp
https://www.opentable.com/r/sopra-sotto-vancouver?corrid=d0de4250-fe7a-4dd8-85bc-f8030eea020e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Sopra Sotto Commercial Dr,287,4.4,Italian,CAN$30 and under,4.6,4.3,4.5,4.3,"So, you can’t cook like Nonna? We’ve got you covered. Like his ancestors, Chef Enrico feels that food should be simple and made “farmer style,” with fresh, seasonal ingredients. All of our menu items are prepared with care in the traditional Italian fashion. Sauces are simmered for hours allowing for a true emersion of flavours. Similarly, our pizza dough is prepared in advance and allowed two days to rise — this grants that the yeast will complete its full growth cycle, creating a lighter meal. As Italian cuisine is so diverse, seasonal changes will be made to our menu; be sure to keep an eye out for new items, as well as old favourites.

As is at home, our food is best enjoyed when shared family style, like the typical Italian dinner table.","Read more Excellent service and delicious food.  Quality dining experience.  Will definitely come back and recommend to family and friends. Thank you..  Had great dinner… meatballs and gnocchi the best ever… all the food we had was wonderful… noise level is loud though…  Overall our experience was very good. The food was good. The restaurant is open and has a pleasant feel to it but the noise level was very high. We had trouble hearing each other.

Our server was excellent. He was helpful, friendly, polite and efficient. Read more Really enjoyed our time at Sopra. Adil was wonderful as always. Food was absolutely amazing. Highly recommend!  Great place, too bad for the volume of the music, TOO loud to even to talk to the others at the table or understand the waitress. Was hard to enjoy the dinner because of it. Food Was good and great service.  Wonderful food and service!  Business lunch and it was a success!  Food is very good, atmosphere is good, always a nice place to be  Good service. They did let us know know going in that the table had a 90 minute window. Table started at 5pm. So 6:30pm would be the time. We hadn't even finished yet, not even finished our current drinks to be told our table would be forfeited soon. At this point it was only 6:15pm. Sure. Manager even came over to speed us up. Understood but there was also multiple tables around us free, and no one at the front.

Just felt rushed near the end for no real reason. Read more Very mediocre food with small portions. Very loud with music blaring. They actually charge extra for Parmesan cheese. Really!  Service was amazing! Our server (Nathaniel I believe, he said he was new) was the sweetest ever!",https://resizer.otstatic.com/v2/photos/xlarge/3/26501277.webp
https://www.opentable.com/r/bar-corso-vancouver?corrid=d0de4250-fe7a-4dd8-85bc-f8030eea020e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Bar Corso,158,4.7,Italian,CAN$31 to CAN$50,4.7,4.7,4.6,4.4,"Bar Corso is more than just an apparition of Italian culture - it is the missing piece of Italian ethos on Vancouver's beloved Commercial Drive. Purposefully nestled into the heart of Little Italy, we are a tasting lounge, here for you to taste different regions of Italy through our cocktails, wines, grappa, Amari, and modern Cicchetti.","We had a great time at Bar Corso on a Friday night. The food was absolutely delicious, although portions could’ve been larger… I like to eat! We were a group of girls that shared a few dishes and the gnocchi and venison pappardelle was amazing. Burrata salad was so fresh and delicious. There were two servers that frequented our table and I wish I could remember their names because they made our evening very enjoyable. I know for one of them it was their very first night serving and he did an outstanding job. Very friendly! Read more We really enjoyed our visit. The food was innovative and delicious. Pasta was properly cooked al dented. Very friendly service. I also appreciated that they have interesting nonalcoholic drinks.  Always amazing at Bar Corso. The menu is inspiring and always changes based on what is in season. Quality ingredients and always treated the best. Chef Luke Boswell is a genius, eat here before they get their Michelin star and you can’t get a table. Also their cocktails are 👌🏻  Very cute spot with a nice ambience. Food was very good, specifically the burrata. The servers had a foul attitude.  Always my favourite Negroni bar in Vancouver, intimate seating  The service is friendly and good and the food is great, and we love the atmosphere there.  The one issue we have had, on several occasions, is that the pasta is not hot - can be room temperature - when it arrives.  Not sure if it sits in the kitchen before picked up by servers, or is placed in a cold (and quite heavy stoneware bowl) which cools it down.  They did address the issue last night with a second serving, but this otherwise great restaurant should address this issue.  I am making this comment to assist them, it is a special spot. Read more Delicious food, great staff explaining every dish, great drinks, great music, got a little pricy when trying a few dishes but food was fantastic  As always, a delightful and delicious meal in an intimate yet lively space.  We love coming here for date night and our anniversary.  Excellent service from the staff. They are super busy as the sun goes down. The food is excellent and beautiful.",https://resizer.otstatic.com/v2/photos/xlarge/3/51628826.webp
https://www.opentable.com/r/zarak-by-afghan-kitchen-vancouver?corrid=d0de4250-fe7a-4dd8-85bc-f8030eea020e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Zarak by Afghan Kitchen,1397,4.8,Afghan,CAN$30 and under,4.7,4.8,4.7,4.5,"Zarak by Afghan Kitchen is an elevated Afghan dining destination with an innovative bar program.
A narrative of hope and humility, passion for the tradition and history of Afghanistan, refined dishes, not straying away from the integrity of mum's recipes.

**Kindly note that we leave lots of tables open for walk-in for brunch service**

We accept online bookings for 1 -7 guests. To book a party larger than 7 guests, please email hello@zarakvancouver.com

Thank you, and we can't wait to meet you soon.","Read more The food was delicious as always and our server was lovely  Some of the best food and service in Vancouver. Always hits, never misses. Highly recommend for brunch and dinner!  Best food friendly atmosphere and reasonable prices  Amazing food and service. Flavors were awesome, we order almost everything on them menu.  The best dish was the daily special which was a flatbread, but one of the main menu items, the brussel sprouts was amazing.  Our server was so amazing, she took the time to explain every single dish plus surprised us with a milk pudding for the birthday guest.  Highly recommend this place and you can't go wrong with anything on the menu based on our experience, but reserve in advance as its very busy and for a good reason. Will definitely be back, their brunch menu looks amazing. Read more Excellent and flavorful food; service was attentive and friendly.
They accommodated our group size and it was a memorable meal.
Thank you  Service was excellent.   Food delicious.   Noisy but worth it.  Don't even think about it.  GO!  The evening started out with the server complimenting my essence. She was very kind and attentive, making sure every moment of our night out was special. The food was amazing-very dish became an event of excitement in our mouths. The wine , that I have never heard or had, was an exquisite Zinfandel from California. Opened up after the first sip-complex and interesting. Overall 5-star dinner. Well done. Read more Fantastic food with creative drinks! Everything was perfectly balanced. Will be eating here again soon!!!  Brilliant meal at Zarak again. Definitely time for a Michelin star!  The food and drinks are so creative and delicious. We ordered potatoes stuffed bread, dumplings, fish curry, mushroom skewers, and lamb shoulder, all of which we would order again.",https://resizer.otstatic.com/v2/photos/xlarge/3/46955825.webp
https://www.opentable.com/tap-and-barrel-olympic-village?corrid=d0de4250-fe7a-4dd8-85bc-f8030eea020e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2024-10-17T20%3A00%3A00,Tap & Barrel • Olympic Village,865,4.6,Comfort Food,CAN$30 and under,4.4,4.5,4.6,4.3,"Located in the heart of Vancouver's Olympic Village, our restaurant serves honest, regional food with local craft beer and premium BC wine on tap. Our beer & wine program is the most innovative draft menu program in the province, comprised of a selection of premium BC products that features custom collaborations with local purveyors.

We offer indoor and outdoor seating with breathtaking views of False Creek, Science World, BC Place and Rogers Arena.","Read more Enjoyed the food and service, but won't come back. 

One of us ordered the falafel veggie burger and substituted the (tasteless) brioche bun for baguette, which was the only other option available. The server mentioned that there may be an additional fee, which was fine. 

Disappointed to see that the charge was $6.95 for this small piece of bread. Paying $29 for some chickpeas, hummus, cucumber, and cabbage makes no sense. Read more The Lonsdale quay location is far superior in terms of food quality  and service.
The chicken strips had freezer burn on them, margarita pizza was cold, and the green goddess bowl was smaller in ingredient portion.
The kids meals typically come with a drink and dessert but neither was offered. Read more Waiter was great in giving me options for my nut allergy.  Great selection and super close to B.C. Place (via the ferry)  If it’s warm and sunny, definitely come here for happy hour and sit on their patio upstairs. You get a lovely view of the water, and the patio is heated for slightly colder days. We tried the maple bacon chicken wings, the spicy Korean chicken wings, the margarita pizza, the double pepperoni pizza, and the rosé sangria…all on happy hour! The food was delicious…great portion sizes too! The service was super friendly and the view was beautiful. Read more Loved coming here for late night happy hour! They are super busy so I recommend making a reservation. It is super lively on a Friday evening so it’s really loud if you aren’t sitting outside on the patio. We ordered the chicken pesto pasta with wild mushrooms added on, the lettuce wraps, maple bacon chicken wings and the margarita slushie. Everything was delicious except the margarita slushie was not my favourite…will look to get a different drink next time. Really great value for the portion sizes. They ran out of pizzas so we hope to try those for happy hour next time too. Looking forward to coming back! Read more Excellent threaded, good priced, delicious food and good beer  Good atmosphere, service -Carol was excellent!- and food.  Service was impeccable, patio is always great when it’s nice weather out and enough food options that our group of nine ranging in age from 3-50s had bountiful choices.  The patio was lovely. Our server was friendly, as were the other staff. Good prices for happy hour. They were able to accommodate our large group on the patio which many places wouldn’t do, so I was very grateful!  Wonderful patio! With the lovely view, its a place you can and will want to linger.",https://resizer.otstatic.com/v2/photos/xlarge/2/28048951.webp
